Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> do not underestimate my power . <end>, <start> ne sous estime pas ma puissance . <end>,ne sous estime pas ma puissance . 
 <start> he wants you to come home . <end>, <start> il veut que vous veniez chez nous . <end>,il veut que tu viennes chez nous . 
 <start> tom is the ranking officer . <end>, <start> tom est l officier le plus grade . <end>,tom est l officier le plus grade . 
 <start> it was a divine intervention . <end>, <start> ca a ete une intervention divine . <end>,ca a ete une intervention divine . 
 <start> he clung to the hope that he would see her again someday . <end>, <start> il s accrochait a l espoir de la revoir un jour . <end>,il s accrochait a l espoir de la revoir un jour . 
 <start> i am eating a sandwich . <end>, <start> je suis en train de manger un sandwich . <end>,je mange un sandwich . 
 <start> his father doesn t play golf . <end>, <start> son pere ne joue pas au golf . <end>,son pere ne joue pas au golf . 
 <start> tom has a friend in boston . <end>, <start> tom a une amie a boston . <end>,tom a un ami a boston . 
 <start> i think they like me . <end>, <start> je pense qu ils m apprecient . <end>,je crois qu ils m aiment . 
 <start> the gate was left open . <end>, <start> la porte a ete laissee ouverte . <end>,la porte a ete laissee ouverte . 
 <start> they were abandoned by their mother . <end>, <start> ils ont ete abandonnes par leur mere . <end>,ils ont ete abandonnes par leur mere . 
 <start> i wouldn t be so sure about that . <end>, <start> je n en serais pas si sure . <end>,je n en serais pas si sure . 
 <start> nobody can believe in you more than yourself . <end>, <start> personne ne peut croire en toi plus que toi meme . <end>,personne ne peut croire en toi plus que toi meme . 
" <start> thank you , i d love to have another piece of cake , said the shy young man . <end>"," <start> merci , je reprendrais bien du gateau , dit le jeune homme timide . <end>","merci , j adorerais avoir un autre part de gateau , dit le jeune homme timide . "
 <start> she taught music for thirty years . <end>, <start> elle a enseigne la musique pendant trente ans . <end>,elle a enseigne de la musique durant trente ans . 
 <start> i can t believe you d do that . <end>, <start> je n arrive pas a croire que tu ferais ca . <end>,je n arrive pas a croire que tu ferais ca . 
 <start> dad needs to take a rest . he s been working in the garden for three hours . <end>, <start> papa a besoin de repos . cela fait heures qu il travaille dans le jardin . <end>,papa doit prendre un repos . il travaille dans le jardin . 
 <start> you could be a little nicer to your brother . <end>, <start> vous pourriez etre un peu plus gentil a l egard de votre frere . <end>,tu pourrais etre un peu plus gentil a ton frere . 
 <start> he gave me a ride home . <end>, <start> il m a raccompagne chez moi en voiture . <end>,il m a raccompagnee chez moi . 
 <start> don t you remember my name ? <end>, <start> ne te rappelles tu pas mon nom ? <end>,ne te souviens tu pas de mon nom ? 
 <start> it s not as big a problem as you think . <end>, <start> ce n est pas un aussi gros probleme que vous le croyez . <end>,ce n est pas un aussi gros probleme que vous le croyez . 
 <start> what kinds of goods do you sell in your shop ? <end>, <start> quelles sortes de marchandises vendez vous dans votre magasin ? <end>,quelles sortes de marchandises vendez vous dans votre magasin ? 
 <start> i ll dream about you . <end>, <start> je reverai de toi . <end>,je reverai de toi . 
 <start> i d like to talk with you . <end>, <start> j aimerais discuter avec toi . <end>,j aimerais m entretenir avec toi . 
" <start> whatever i do , she says i can do better . <end>"," <start> quoique je fasse , elle dit que je peux faire mieux . <end>","quoi que je fais , elle pense que je peux faire mieux . "
 <start> she kindly gave me a ride home . <end>, <start> elle me raccompagna gracieusement a la maison . <end>,elle me raccompagna gracieusement a la maison . 
 <start> he came back two days later . <end>, <start> il revint deux jours plus tard . <end>,il est revenu deux jours plus tard . 
 <start> is this the best you have ? <end>, <start> c est ce que tu as de mieux ? <end>,est ce la meilleure que vous avez ? 
 <start> i turned on the lights . <end>, <start> j ai allume la lumiere . <end>,j ai allume les phares . 
 <start> i don t want to live like that . <end>, <start> je ne veux pas vivre comme ca . <end>,je ne veux pas vivre ainsi . 
 <start> i know that you still love me . <end>, <start> je sais que tu m aimes toujours . <end>,je sais que tu m aimes toujours . 
" <start> she cried and cried , but nobody came to comfort her . <end>", <start> elle a pleure tant et plus mais personne n est venu la reconforter . <end>,elle pleura et pleura mais mais personne ne vint la reconforter . 
 <start> i was glad to see my old friends . <end>, <start> j etais contente de voir mes vieilles amies . <end>,j etais contente de voir mes vieilles amies . 
 <start> there was blood on the floor . <end>, <start> il y avait du sang sur le sol . <end>,il y avait du sang sur le sol . 
 <start> it is difficult to shoot a bird flying in the air . <end>, <start> c est difficile de tirer sur un oiseau en plein vol . <end>,il est difficile de tirer un oiseau en train de faire un oiseau en feu . 
 <start> come and see me . <end>, <start> venez me voir . <end>,venez me voir . 
 <start> is it something important ? <end>, <start> c est quelque chose d important ? <end>,est ce quelque chose d important ? 
 <start> i m surprised to see you . <end>, <start> je suis etonne de vous voir . <end>,je suis etonne de vous voir . 
 <start> they cannot be saved . <end>, <start> ils ne peuvent etre sauves . <end>,elles ne peuvent etre sauves . 
 <start> it s not that complicated . <end>, <start> ce n est pas si complique . <end>,ce n est pas si complique . 
 <start> tom insisted that he acted alone . <end>, <start> tom a insiste pour qu il agisse seul . <end>,tom insista pour qu il tournait seul . 
 <start> i felt somebody patting on my shoulder from behind . <end>, <start> je sentis quelqu un me tapoter l epaule derriere moi . <end>,je sentis quelqu un me tapoter l epaule derriere moi . 
 <start> i sold my books cheaply . <end>, <start> j ai vendu mes livres a prix modique . <end>,j ai vendu mes livres a prix modique . 
 <start> i bought this for my boyfriend . <end>, <start> j ai achete ceci pour mon petit ami . <end>,j ai achete ceci pour mon petit ami . 
 <start> we all suffered . <end>, <start> nous avons tous souffert . <end>,nous avons toutes souffert . 
 <start> you have no choice . <end>, <start> tu n as pas le choix . <end>,tu n as pas le choix . 
 <start> you need to come . <end>, <start> tu dois venir . <end>,il te faut venir . 
 <start> i don t know why i bother with you . <end>, <start> j ignore pourquoi je me tracasse pour toi . <end>,j ignore pourquoi je m embete a toi . 
 <start> don t tell me to go home . <end>, <start> ne me dis pas de m en aller chez moi ! <end>,ne me dis pas de me rendre chez moi ! 
 <start> the hostages will be released . <end>, <start> les otages seront liberes . <end>,les otages seront liberes . 
 <start> he may become a baseball player . <end>, <start> il deviendra peut etre joueur de baseball . <end>,il deviendra peut etre joueur de baseball . 
 <start> we re quite certain of that . <end>, <start> nous en sommes pour ainsi dire certains . <end>,nous sommes tout a fait certain . 
" <start> i am seventeen years old , too . <end>", <start> j ai egalement dix sept ans . <end>,j ai egalement dix sept ans . 
 <start> draw a small circle . <end>, <start> trace un petit cercle . <end>,trace un petit cercle . 
 <start> he may have missed the plane . <end>, <start> il a peut etre rate l avion . <end>,il a peut etre manque l avion . 
 <start> you re very timid . <end>, <start> vous etes tres timides . <end>,tu es tres peureux . 
 <start> biodiversity continues to decline each year . <end>, <start> chaque annee la biodiversite continue de reculer . <end>,chaque annee la biodiversite continue de reculer . 
 <start> last night my house was robbed while i was still awake . <end>," <start> la nuit derniere , ma maison a ete cambriolee tandis que j etais encore eveillee . <end>","la nuit derniere , ma maison a ete cambriolee alors que j etais encore eveille . "
 <start> let s establish some ground rules . <end>, <start> posons quelques regles de base . <end>,etablissons quelques regles de construction . 
 <start> what kind of shows do you like to watch ? <end>, <start> quel genre d emissions aimez vous regarder ? <end>,quelle sorte de emissions aimes tu regarder ? 
" <start> after that , he went home . <end>"," <start> sur ce , il alla chez lui . <end>","apres cela , il est rentre chez lui . "
 <start> i already did that twice today . <end>, <start> je l ai deja fait a deux reprises aujourd hui . <end>,j ai deja fait cela deux fois aujourd hui . 
 <start> tom has far more experience than mary . <end>, <start> tom a bien plus d experience que mary . <end>,tom a bien plus d experience que mary . 
 <start> he has been the chief of his tribe for years . <end>, <start> c est le chef de sa tribu depuis ans . <end>,il a ete le chef de sa tribu depuis ans . 
 <start> he has been to england twice . <end>, <start> il est alle deux fois en angleterre . <end>,il est alle a deux fois . 
 <start> what did you find ? <end>, <start> qu avez vous trouve ? <end>,qu avez vous trouve ? 
 <start> you can t believe anybody . <end>, <start> tu ne peux pas croire a n importe qui . <end>,vous ne pouvez pas croire a n importe qui . 
 <start> tom said that s just not true . <end>, <start> tom a dit que ca n est juste pas vrai . <end>,tom a dit que ca n est simplement pas vrai . 
 <start> i wish i could ve spoken to tom . <end>, <start> j aurais aime pouvoir parler a tom . <end>,j aurais voulu pouvoir parler a tom . 
 <start> his parents go to church every sunday . <end>, <start> ses parents vont a l eglise tous les dimanches . <end>,ses parents vont a l eglise tous les dimanches . 
 <start> the walls were painted light brown . <end>, <start> les murs etaient peints de couleur sable . <end>,les murs etaient peints de couleur sable . 
 <start> tom has decided to wait until monday . <end>, <start> tom a decide d attendre jusqu a lundi . <end>,tom a decide d attendre lundi . 
 <start> are you feeling ok ? <end>, <start> tu te sens bien ? <end>,vous sentez vous bien ? 
 <start> tom hurried out of the building . <end>, <start> tom se precipita hors du batiment . <end>,tom se precipita du batiment . 
" <start> you tried to stop tom from doing that , didn t you ? <end>"," <start> tu as voulu empecher tom de passer a l acte , n est ce pas ? <end>","vous avez essaye de arreter tom de faire cela , n est ce pas ? "
 <start> he left the room as soon as i entered it . <end>, <start> il a quitte la piece aussitot que j y ai penetre . <end>,il a laisse la piece des que j y penetrai . 
 <start> we ve run enough for one day . <end>, <start> nous avons suffisamment couru pour la journee . <end>,nous avons suffisamment couru pour la journee . 
 <start> tom isn t the only famous person here . <end>, <start> tom n est pas la seule personne celebre ici . <end>,tom n est pas la seule personne ici . 
 <start> i have been wanting to ask you a question . <end>, <start> je veux vous poser une question . <end>,je veux te poser une question . 
 <start> will you put down that paper and listen to me ? <end>, <start> vas tu laisser ce papier et m ecouter ? <end>,vas tu laisser ce papier et m ecouter ? 
 <start> the teacher taught them that the earth is round . <end>, <start> l instituteur leur a enseigne que la terre est ronde . <end>,le professeur leur a enseigne que la terre est ronde . 
 <start> need a lift ? <end>, <start> t as besoin d un chauffeur ? <end>,on doit soulever ? 
 <start> there is something you must know . <end>, <start> il y a quelque chose que tu dois savoir . <end>,il y a quelque chose que vous devez savoir . 
 <start> tom can run faster than you . <end>, <start> tom peut courir plus vite que toi . <end>,tom peut courir plus vite que toi . 
" <start> another bottle of wine , please . <end>"," <start> une autre bouteille de vin , je vous prie ! <end>","une autre bouteille de vin , s il vous plait . "
 <start> we had a slight difference of opinion . <end>, <start> nous avions une legere difference d opinion . <end>,nous avons une legere difference d opinion . 
 <start> tom doesn t need to worry about mary . <end>, <start> tom n a pas a s inquieter pour marie . <end>,tom n a pas besoin de s inquieter pour marie . 
" <start> a man with a watch knows what time it is , a man with two watches is never sure . <end>"," <start> un homme avec une montre sait quelle heure il est , un homme avec deux montres n en est jamais sur . <end>",un homme avec une montre sait quelle heure il est en deux montres . 
 <start> there are some good apples in the basket . <end>, <start> il y a de bonnes pommes a l interieur du panier . <end>,il y a de bonnes pommes dans le panier . 
 <start> he said it himself . <end>, <start> il l a dit lui meme . <end>,il l a dit lui meme . 
 <start> what would you like to be called ? <end>, <start> comment aimeriez vous qu on vous appelle ? <end>,que voudrais tu etre appele ? 
 <start> you really annoy me . <end>, <start> tu m importunes vraiment . <end>,vous m importunez vraiment . 
 <start> did i wake you up ? <end>, <start> vous ai je reveilles ? <end>,vous ai je reveille ? 
 <start> the elevator stopped on the second floor . <end>, <start> l ascenseur s est arrete au deuxieme etage . <end>,l ascenseur s arreta sur le deuxieme etage . 
 <start> he has a good accent . <end>, <start> il a un bon accent . <end>,il a bon accent . 
 <start> you d better go home as soon as possible . <end>, <start> vous feriez mieux d aller chez vous le plus tot possible . <end>,tu ferais mieux de rentrer a la maison aussitot que possible . 
 <start> they slept in the car because they couldn t find a hotel . <end>, <start> elles ont dormi dans la voiture parce qu elles n ont pu trouver d hotel . <end>,ils ont dormi dans la voiture parce qu ils ne purent trouver d hotel . 
 <start> can you please tell me what time the train leaves ? <end>," <start> pouvez vous me dire a quelle heure le train part , s il vous plait ? <end>","peux tu me dire a quelle heure part le train part , s il vous plait ? "
 <start> he sat next to her . <end>, <start> il s est assis aupres d elle . <end>,il s est assis a cote d elle . 
 <start> the worst is already over . <end>, <start> le pire est deja passe . <end>,le pire est deja passe . 
 <start> remove your coat and empty your pockets . <end>, <start> enleve ton manteau et vide tes poches ! <end>,retire ton manteau et vide tes poches ! 
 <start> i often have the same dream . <end>, <start> je fais souvent le meme reve . <end>,j ai souvent le meme reve . 
 <start> we arrived at the airport three hours before our flight . <end>, <start> nous sommes arrives a l aeroport trois heures avant notre vol . <end>,nous sommes arrives a l aeroport trois heures avant notre vol . 
 <start> i ve got a pair of sunglasses . <end>, <start> j ai une paire de lunettes noires . <end>,j ai une paire de lunettes de soleil . 
 <start> i don t think i said that . <end>, <start> je ne crois pas l avoir dit . <end>,je ne pense pas avoir dit ca . 
 <start> i ll try to remember that . <end>, <start> j essayerai de me souvenir de cela . <end>,j essaierai de me souvenir de ca . 
 <start> are there any french magazines in your school library ? <end>, <start> y a t il des magazines francais dans la bibliotheque de ton ecole ? <end>,y a t il des magazines francais dans la bibliotheque de ton ecole ? 
 <start> i ve met that girl before . <end>, <start> j ai rencontre cette fille auparavant . <end>,j ai rencontre cette fille auparavant . 
" <start> i m not angry at you , just very disappointed . <end>"," <start> je ne suis pas en colere apres vous , seulement tres decue . <end>","je ne suis pas en colere apres vous , seulement tres decu . "
 <start> i was totally dumbfounded . <end>, <start> j etais simplement abasourdi . <end>,j etais totalement sidere . 
 <start> i don t know that yet . <end>, <start> je ne le sais pas encore . <end>,j ignore encore cela . 
 <start> i can t speak to tom . <end>, <start> je ne peux pas parler a tom . <end>,je ne sais pas parler a tom . 
 <start> i m still thinking about it . <end>, <start> j y songe encore . <end>,j y pense encore . 
" <start> i understand your point of view , but don t agree with it . <end>", <start> je comprends ton point de vue mais ne suis pas d accord avec . <end>,je comprends ton point de vue mais n est pas d accord avec ca . 
 <start> she complained about my low salary . <end>, <start> elle se plaignit de mon salaire modeste . <end>,elle s est plainte de mon salaire modeste . 
 <start> he hasn t answered my letter yet . <end>, <start> il n a pas encore repondu a ma lettre . <end>,il n a pas encore repondu a ma lettre . 
 <start> paper burns easily . <end>, <start> le papier brule facilement . <end>,le papier brule facilement . 
 <start> where did you go fishing ? <end>, <start> ou etes vous alles pecher ? <end>,ou etes vous alle pecher ? 
 <start> i d like a second opinion . <end>, <start> j aimerais une autre opinion . <end>,j aimerais une autre opinion . 
 <start> are you sure ? <end>, <start> etes vous sur ? <end>,es tu sure ? 
 <start> he speaks french fluently . <end>, <start> il parle le francais couramment . <end>,il parle couramment le francais . 
 <start> is the bath ready ? <end>, <start> le bain est il pret ? <end>,le bain est il pret ? 
 <start> i m by no means angry with you . <end>, <start> je ne suis en aucun cas en colere apres toi . <end>,je ne suis pas en colere apres toi . 
 <start> i know what tom was doing . <end>, <start> je sais ce que tom faisait . <end>,je sais ce que tom faisait . 
" <start> you like olives , don t you ? <end>"," <start> tu aimes les olives , pas vrai ? <end>","tu aimes les olives , n est ce pas ? "
 <start> how do you spell your last name ? <end>, <start> comment epelles tu ton nom de famille ? <end>,comment epelez vous votre nom de famille ? 
 <start> none of his advice was very useful . <end>, <start> aucun de ses conseils n a ete tres utile . <end>,aucun de ses conseils n a ete tres utile . 
 <start> are you going to take part in the contest ? <end>, <start> allez vous participer a la competition ? <end>,vas tu participer a la competition ? 
 <start> beer s good . <end>, <start> la biere est bonne . <end>,la biere est bonne . 
 <start> that s not going to help . <end>, <start> ca ne va pas aider . <end>,ca ne va pas aider . 
 <start> would you like to hear my new song ? <end>, <start> aimerais tu entendre ma nouvelle chanson ? <end>,aimeriez vous ecouter ma nouvelle chanson ? 
 <start> the mona lisa was painted by leonardo da vinci . <end>, <start> la joconde a ete peinte par leonard de vinci . <end>,mona lisa a ete peinte par leonard de vinci . 
 <start> she kept working . <end>, <start> elle continua a travailler . <end>,elle continua a travailler . 
 <start> she didn t like him . <end>, <start> elle ne l aimait pas . <end>,elle ne l aime pas . 
 <start> i understand tom s frustration . <end>, <start> je comprends la frustration de tom . <end>,je comprends la frustration de tom . 
 <start> i glanced through the brochure . <end>, <start> j ai jete un il dans la brochure . <end>,j ai jete un il dans le prospectus . 
 <start> that isn t what i m looking for . <end>, <start> ce n est pas ce que je cherche . <end>,ce n est pas ce que je cherche . 
 <start> you are not supposed to smoke here . <end>, <start> vous n etes pas censes fumer ici . <end>,tu n es pas cense fumer ici . 
 <start> i wrote it for tom . <end>, <start> je l ai ecrit pour tom . <end>,je l ai ecrit pour tom . 
" <start> he has hardly any money , but he gets by . <end>", <start> il n a pour ainsi dire pas d argent mais il se debrouille . <end>,il n a pratiquement pas d argent mais il se debrouille . 
 <start> can you imagine what life would be like without television ? <end>, <start> peux tu te figurer comment serait la vie sans television ? <end>,peux tu te figurer comment serait la vie sans television ? 
 <start> why did you buy a flower ? <end>, <start> pourquoi avez vous achete une fleur ? <end>,pourquoi avez vous achete une fleur ? 
 <start> many people believe acupuncture can cure diseases . <end>, <start> beaucoup croient que l acupuncture peut guerir les maladies . <end>,beaucoup de gens croient que l acupuncture peut guerir les maladies . 
 <start> the contract expired on monday . <end>, <start> le contrat a expire lundi . <end>,le contrat a expire lundi . 
 <start> i usually don t work here . <end>, <start> je ne travaille habituellement pas ici . <end>,je ne travaille pas ici . 
 <start> i ve never seen a whale that big . <end>, <start> jamais n ai je vu baleine aussi grosse . <end>,je n ai jamais vu une baleine aussi grosse . 
 <start> that s why i m telling you not to go alone . <end>, <start> c est pourquoi je te dis de ne pas y aller seul . <end>,c est pourquoi je te dis de ne pas y aller seul . 
 <start> i m using that cup . <end>, <start> j utilise cette tasse . <end>,j emploie cette tasse . 
 <start> you still haven t told me why you re here . <end>, <start> tu ne m as pas encore dit pourquoi tu es ici . <end>,vous ne m avez pas encore dit pourquoi vous etes ici . 
 <start> tom is not interested . <end>, <start> tom n est pas interesse . <end>,tom n est pas interesse . 
 <start> it s not mine . <end>, <start> ce n est pas le mien . <end>,ce n est pas a moi . 
" <start> if that s true , then she s better than me . <end>"," <start> si c est vrai , alors elle est meilleure que moi . <end>","si c est vrai , elle est mieux que moi . "
 <start> get out of my house . <end>, <start> sortez de ma maison ! <end>,sortez de ma maison ! 
 <start> the place was packed to the brim last night . <end>," <start> l endroit etait plein a ras bord , hier soir . <end>",l endroit etait bonde a la recherche hier soir . 
 <start> are you a paleontologist ? <end>, <start> etes vous paleontologue ? <end>,etes vous paleontologue ? 
 <start> is that why you called ? <end>, <start> est ce pourquoi vous avez appele ? <end>,est ce la la raison de tom ? 
 <start> are you giving me another chance ? <end>, <start> me donnez vous une autre chance ? <end>,tu en veux une autre chance ? 
 <start> i wonder who they are . <end>, <start> je me demande qui ils sont . <end>,je me demande qui elles sont . 
 <start> i like playing with my dog . <end>, <start> j aime jouer avec mon chien . <end>,j aime jouer avec mon chien . 
 <start> she had to rely upon her inner strength . <end>, <start> elle dut compter sur sa propre force . <end>,elle a du compter sur sa propre force . 
 <start> he told me his life s story . <end>, <start> il me raconta l histoire de sa vie . <end>,il m a dit l histoire de sa vie . 
 <start> i have a cat . <end>, <start> j ai un chat . <end>,j ai un chat . 
 <start> i m joking . <end>, <start> je rigole ! <end>,je plaisante . 
 <start> don t you ever say that again . <end>, <start> ne redites plus jamais ca ! <end>,ne redis plus jamais ca ! 
 <start> tom is always watching tv . <end>, <start> tom regarde la television en permanence . <end>,tom regarde tout le temps la tele . 
 <start> don t expect anyone to help you . <end>, <start> ne vous attendez pas a ce que qui que ce soit vous aide ! <end>,n esperez pas que quiconque vous aide ! 
 <start> tell the truth no matter what . <end>, <start> dis la verite quoi qu il en soit . <end>,dis la verite quoi que ce fut ! 
 <start> the airport is closed . <end>, <start> l aeroport est ferme . <end>,l aeroport est ferme . 
 <start> tom had no idea how to do it . <end>, <start> tom n avait aucune idee de comment le faire . <end>,tom n avait aucune idee de comment le faire . 
 <start> who ate all the cookies ? <end>, <start> qui a mange tous les biscuits ? <end>,qui a mange tous les biscuits ? 
 <start> you have to go the rest of the way without me . <end>, <start> vous devez faire le reste du chemin sans moi . <end>,il vous faut aller au reste de la maniere sans moi . 
 <start> may i see you tomorrow ? <end>, <start> puis je vous voir demain ? <end>,puis je vous voir demain ? 
 <start> i don t have enough money to buy a new bicycle . <end>, <start> je n ai pas assez d argent pour acheter une nouvelle bicyclette . <end>,je n ai pas assez d argent pour acheter un nouveau velo . 
 <start> can you take me with you on the plane ? <end>, <start> pouvez vous me prendre a votre bord ? <end>,peux tu me prendre a bord ? 
 <start> you make me sick . <end>, <start> vous me rendez malade . <end>,tu me rends malade . 
" <start> when i woke up today , i yawned , stretched , rubbed the sleep out of my eyes , and put on a pair of slippers . <end>"," <start> lorsque je me suis reveille ce matin , j ai baille , me suis etire , j ai frotte le sommeil de mes yeux et j ai enfile une paire de pantoufles . <end>","lorsque je me suis reveille aujourd hui , je me suis leve , un eclair plus facilement le sol de mes yeux . "
 <start> how s your day going ? <end>, <start> comment se deroule ta journee ? <end>,comment va ta journee ? 
 <start> when will i get to tokyo ? <end>, <start> quand est ce que j arriverai a tokyo ? <end>,quand arriverai je a tokyo ? 
 <start> that s how he invented the machine . <end>, <start> c est ainsi qu il inventa la machine . <end>,c est ainsi qu il inventa la machine . 
 <start> a curfew was imposed on the city . <end>, <start> un couvre feu a ete impose dans la ville . <end>,un couvre feu a ete impose dans la ville . 
 <start> the suspect was holed up in an abandoned factory . <end>, <start> le suspect etait refugie dans une usine abandonnee . <end>,le suspect etait refugie dans une usine abandonnee . 
 <start> i don t feel like smoking today . <end>," <start> je n ai pas envie de fumer , aujourd hui . <end>","je n ai pas envie de fumer , aujourd hui . "
 <start> i had my shoes shined . <end>, <start> j ai fait cirer mes chaussures . <end>,j ai eu mes chaussures . 
 <start> i am exhausted . <end>, <start> je suis vanne . <end>,je suis creve . 
 <start> he broke out into rage . <end>, <start> sa colere eclata . <end>,il a eclate en larmes . 
 <start> the news confirmed my suspicions . <end>, <start> les nouvelles ont confirme mes soupcons . <end>,les nouvelles ont confirme mes soupcons . 
 <start> i think that she knows the truth . <end>, <start> je pense qu elle connait la verite . <end>,je pense qu elle connait la verite . 
 <start> he s gone into hiding . <end>, <start> il est parti au maquis . <end>,il se mit a se faire . 
 <start> are you proud of me ? <end>, <start> etes vous fier de moi ? <end>,etes vous fier de moi ? 
 <start> this is pretty . <end>, <start> c est joli . <end>,c est joli . 
 <start> she described him as handsome . <end>, <start> elle l a decrit comme etant beau . <end>,elle l a decrit comme etant beau . 
 <start> i guess the dog bites . <end>, <start> on dirait que le chien mord . <end>,j imagine que le chien mord . 
 <start> wear whatever you want . <end>, <start> portez ce que vous voulez . <end>,portez ce que vous voulez . 
 <start> it took me some time to persuade her . <end>, <start> il m a fallu du temps pour la convaincre . <end>,ca m a pris du temps pour la convaincre . 
 <start> he did not come till noon . <end>, <start> il n est pas venu avant midi . <end>,il n est pas venu avant midi . 
 <start> we all had the same idea . <end>, <start> nous avons toutes eu la meme idee . <end>,nous avons toutes ete la meme idee . 
 <start> i love a happy ending . <end>, <start> j adore les fins heureuses . <end>,j adore les fins heureuses . 
 <start> it s necessary for you to go . <end>, <start> il est necessaire que vous partiez . <end>,il est necessaire que tu partes . 
 <start> this is what you re supposed to do . <end>, <start> voici ce que tu es suppose faire . <end>,c est ce que tu es cense faire . 
 <start> would you go to your room ? <end>, <start> voudriez vous aller dans votre chambre ? <end>,voudrais tu aller dans ta chambre ? 
 <start> they love coffee . <end>, <start> elles adorent le cafe . <end>,ils adorent le cafe . 
 <start> did you try to listen to her ? <end>, <start> avez vous essaye de l ecouter ? <end>,avez vous essaye de l ecouter ? 
 <start> she was brought up by her grandmother . <end>, <start> elle a ete elevee par sa grand mere . <end>,elle a ete eleve par sa grand mere . 
 <start> i need tom s help . <end>, <start> j ai besoin de l aide de tom . <end>,j ai besoin de l aide de tom . 
 <start> we ll find a way to use it . <end>, <start> nous trouverons un moyen de l utiliser . <end>,nous trouverons un moyen de l utiliser . 
 <start> they are still children . <end>, <start> ils sont encore des enfants . <end>,ils sont encore des enfants . 
 <start> prices are going up . <end>, <start> les prix augmentent . <end>,les prix augmentent . 
 <start> let tom decide . <end>, <start> laisse tom decider . <end>,laissez tom decider . 
 <start> he had a new suit made . <end>, <start> il se fit faire un nouveau costume . <end>,il s est fait faire un nouveau costume . 
" <start> we had fun , didn t we ? <end>"," <start> on s est marres , pas vrai ? <end>","nous nous sommes amusees , pas vrai ? "
