Phrase_a_traduire,Phrase_traduite,Sortie_modele
i want you to run to the store for me,je veux que tu coures à la boutique pour moi,je veux que vous vous vous vous rendiez au magasin
they work hard,elles travaillent dur,ils travaillent dur
he took off his coat and put it on again,il enleva son manteau et le remit sur lui,il a retiré son manteau et le mettre à nouveau
it's getting light morning is coming,ça s'éclaircit le matin arrive,il est ce que la lumière est en train de se mettre
you need to wash your hands,tu dois te laver les mains,il vous faut vous laver les mains
i'm traveling light,je voyage léger,je voyage léger
the meeting has been postponed until tomorrow,la réunion a été reportée à demain,la réunion a été fait attendre jusqu'à demain
you need to be more careful,vous devez faire plus attention,il faut que vous soyez plus prudent
i'm a salesman for our company,je suis représentant de commerce pour notre société,je suis un compte pour notre société
he has been very busy this week,il était très occupé cette semaine,il a été très occupé cette semaine
did i just say that,est ce que je viens de dire ça,ai je juste dit cela
are you going to eat those fries,vas tu manger ces frites,allez vous manger ces frites
how could you agree to doing that without consulting me,comment avez vous pu accepter de faire cela sans me consulter ,comment pourriez vous faire cela sans me rendre ça sans me battre
i'll be back within an hour,je serai de retour d'ici une heure,je reviens dans une heure
don't leave me here,ne me laisse pas là,ne me laisse pas ici
why couldn't i be the one to help you,pourquoi ne pourrais je pas être celle qui t'aide,pourquoi ne pourrais je pas être celui qui vous aide
what's your favorite number,quel est ton chiffre favori,quel est ton numéro préférée
the cat ate the mouse,le chat mangea la souris,le chat a mangé la souris
our team is winning,notre équipe est en train de gagner,notre équipe est en train de gagner
that's acceptable,c'est acceptable,c'est acceptable
the problem will eventually solve itself,le problème finira par se résoudre de lui même,le problème va se résoudre à fait face
everybody laughed at tom,tout le monde se moqua de tom,tout le monde rit à tom
he never believes in paying any more for a thing than is necessary,il ne croit jamais devoir payer plus pour une chose qu'il n'est nécessaire,il ne croit jamais plus en payer une chose plus nécessaire
i'm tired because i walked too much,je suis fatigué d'avoir beaucoup marché,je suis fatigué car je me suis trop venu
if you change your mind let us know,si vous changez d'avis faites le nous savoir,si vous ne vous change d'avis faites nous savoir
don't be scared to meet new people,ne craignez pas de rencontrer des gens nouveaux,n'aie pas peur de rencontrer des nouveaux gens
what i really want is something hot to eat,ce que je veux vraiment c'est quelque chose de chaud à manger,ce que je veux vraiment quelque chose chaud à manger
digital music is becoming more and more popular,la musique numérique gagne en popularité,la musique est en plus populaire et plus populaire
there's no air on the moon,il n'y a pas d'air sur la lune,il n'y a pas l'air sur la lune
this is something i don't understand,ça c'est quelque chose que je ne comprends pas,c'est quelque chose que je ne comprends pas
i appreciate your support,je te suis reconnaissant pour ton assistance,j'apprécie ton assistance
i brought mine,j'ai apporté la mienne,j'ai apporté le mien
they need him,ils ont besoin de lui,ils ont besoin de lui
my throat is a little dry,ma gorge est un peu sèche,ma gorge est un peu plus intelligent
i only have one sister,j'ai seulement une sœur,je n'ai qu'une sœur
who came up with that idea in the first place,qui a eu cette idée au départ ,qui est venu avec cette idée du premier endroit
can we go,pouvons nous y aller,pouvons nous y aller
they are five in all,ils sont cinq en tout,ils sont cinq en tout
i don't have an alibi for monday night,je n'ai pas d'alibi pour lundi soir,je n'ai pas un étranger lundi soir
what time does school begin,à quelle heure l'école commence t elle,à quelle heure commence t il
read this first,lis ça d'abord,lisez ceci premier
the children were sleeping when their grandparents called them,les enfants dormaient lorsque leurs grands parents les appelèrent,les enfants étaient en train de les parents les gens ont appelé
gunshot residue was found on tom's hands,des résidus de tirs d'arme à feu ont été retrouvés sur les mains de tom,les matins des coups de feu étaient en train de regarder les mains
the hotel is down there,l'hôtel est là en bas,l'hôtel est parti
tom is worried about his children,tom s'inquiète pour ses enfants,tom est inquiète pour ses enfants
you seem upset,tu sembles contrariée,vous semblez contrarié
i'm inviting you,je vous invite,je t'ai invité
you are twice as strong as me,tu es deux fois plus fort que moi,vous êtes deux fois plus forte que moi
the king would not even read the message,le roi ne voulait pas même lire le message,le roi ne ferait même pas le message
stop acting like a child,cesse de te conduire comme une enfant,arrête de te conduire comme une enfant
i think tom can help,je pense que tom peut nous aider,je pense que tom peut aider
i can't wait to be with you,j'ai hâte d'être avec toi,je ne peux pas attendre avec vous
tom has scored 30 points already,tom a déjà marqué 30 points,tom a trois points de trente points
i'm addicted,j'ai une assuétude,je suis une inspiration
your french is better than mine,votre français est meilleur que le mien,votre français est meilleur que le mien
i've been thinking about you too,j'ai moi aussi pensé à toi,je pensais vous à vous
this is a matter of great importance,c’est très important,c'est un grand espoir
nobody remembers,personne ne s'en souvient,personne ne se souvient
he developed his own theory,il a développé sa propre théorie,il a vendu sa propre théorie
do you know the difference,connais tu la différence,connaissez vous la différence
he attempted to climb the fence to no avail,il a tenté sans succès de passer par dessus la barrière,il a tenté de grimper à la clôture
the room smelled of tobacco,la pièce avait une odeur de tabac,la pièce a versé du tout de suite
i'm impressed with your french,je suis impressionnée par ton français,je suis impressionnée par ton français
the noise is going to wake the baby,le bruit va réveiller le bébé,le bruit va réveiller le bébé
i just want to be able to support my family and myself,je veux être à même de nous nourrir ma famille et moi un point c'est tout,je veux simplement être en mesure de me présenter mes parents et moi
there are many countries in europe that i'd like to visit,il y a beaucoup de pays en europe que j'aimerais visiter,il y a beaucoup de pays en europe que je voudrais rendre visite
it may rain,il pourrait pleuvoir,il se peut qu'il pleuve
it was terribly cold yesterday,il faisait terriblement froid hier,il faisait froid hier
do you know the difference between a microscope and a telescope,connais tu la différence entre un microscope et un télescope ,connaissez vous la différence entre un mange un mange
it's been a long time since i've seen my family,ça fait longtemps que je n'ai pas vu ma famille,ça fait longtemps que j'ai vu ma famille
see what happens when you give people advice,voyez vous ce qui arrive lorsqu'on donne des conseils aux gens,vois ce qui se passe quand tu donne des gens
it won't happen again,ça n'arrivera plus,ça ne se reproduira pas
he taught us that columbus discovered america,il nous apprit que colomb avait découvert l'amérique,il nous a enseigné que la nuit était en amérique
i was not sure what to do,je n'étais pas sûre de savoir quoi faire,je ne me suis pas sûre de quoi faire
he made me sing on the stage,il m'a fait chanter sur la scène,il m'a fait chanter sur la scène
all of the tree's leaves turned yellow,toutes les feuilles de l'arbre ont viré au jaune,tous les feuilles de bons feuilles sont jaunes
she is quite angry,elle est assez fâchée,elle est assez en colère
please obey the school rules,veuillez obéir au règlement de l'école,veuillez obéir à l'école
are you talking to me,c'est à moi que tu parles ,me parlez vous
remember not to tell anyone,souviens toi de ne le dire à personne,rappelle toi de ne le dire à personne
we watched the soccer game on tv,nous avons vu le match de football à la télévision,nous avons regardé le match de football à la télévision
i can't stop thinking about that,je ne peux pas m'empêcher d'y penser,je ne peux pas arrêter de penser
come on admit it,allez admets le,allez tomber
you're overworked,tu es surmenée,vous êtes élégant
show me your passport please,veuillez me montrer votre passeport,montrez moi votre passeport s'il vous plaît
i was daydreaming,j'étais en train de faire un songe,j'étais en train de faire
do you have a dog,as tu un chien,as tu un chien
the children received shoes for christmas,les enfants ont reçu des chaussures pour noël,les enfants ont reçu des chaussures pour noël
i can't kiss you the way you want to be kissed,je ne peux vous embrasser de la manière dont vous voulez que je vous embrasse,je ne peux embrasser la façon que vous voulez être embrassé
we are doctors,nous sommes médecins,nous sommes médecins
i hate getting up early,je déteste me lever tôt,je déteste me lever tôt
all eyes were glued on the tv set as the election results came in,tous les yeux étaient collés au poste de télévision tandis que tombaient les résultats de l'élection,toutes les yeux étaient venus à la télévision les résultats des résultats
why not try that delicious wine,pourquoi ne pas essayer ce vin délicieux ,pourquoi ne essaie pas de vin bon vin
this bed looks solid,ce lit semble solide,ce lit a l'air solide
you live in my heart,tu vis dans mon cœur,vous vivez au cœur
tom risked his life for us,tom a risqué sa vie pour nous,tom a tiré sa vie pour nous
don't be so lazy,ne sois pas si paresseux,ne sois pas si fainéant
it was not an easy decision,ce ne fut pas une décision facile,ce n'était pas une décision facile
i thought you were injured,j'ai pensé que vous étiez blessés,je pensais que vous étiez blessés
he is my classmate,c'est mon camarade de classe,c'est ma classe
would you open the window please,ouvririez vous la fenêtre s'il vous plait ,voudriez vous ouvrir la fenêtre s'il vous plaît
what's the commotion,quel est ce tumulte,quel est le train de se faire
tom really hates this kind of thing,tom a horreur de ce genre de choses,tom déteste ce genre de choses
i remember it vividly,j'en garde un souvenir très vivace,je me souviens de cela très bien
i had no one to talk to,je n'avais personne à qui parler,je n'ai personne à parler
books are for people who wish they were somewhere else,les livres sont destinés aux gens qui voudraient être ailleurs,les livres sont pour les gens qui vivent quelque part
i saw him crossing the road,je l'ai vu traverser la route,je l'ai vu traverser la route
i'm glad you weren't injured,je me réjouis que tu n'aies pas été blessée,je suis heureux que vous n'ayez pas été blessé
pardon me,pardon ,veuillez m'excuser
i wanted to talk to you about something,je voulais te parler à propos de quelque chose,je voulais vous parler de quelque chose
i felt as if i were in a dream,je me sentais comme dans un rêve,je me suis sentie comme si j'étais dans un rêve
i had to do what i did,il m'a fallu faire ce que j'ai fait,il me fallait faire ce que j'ai fait
tom is watching the news,tom regarde les nouvelles,tom regarde les nouvelles
please keep it under your hat,garde le pour toi je te prie,veuillez garder votre chapeau
i just want things to be normal,je veux que les choses soient normales un point c'est tout,je veux simplement que les choses soient normal
don't crack a nut with a sledgehammer,ne casse pas une noix avec un marteau de forgeron,ne te fais pas une attaque cardiaque
don't even think about it,n'y pensez même pas,n'y pensez même pas
i'm not going to help you,je ne vais pas t'aider,je ne vais pas t'aider
i need you to come with me,j'ai besoin que tu viennes avec moi,j'ai besoin que vous soyez venu avec moi
you're preaching to the choir,tu prêches une convaincue,vous êtes en compte par la professeur
tom isn't serious is he,tom n'est pas sérieux n'est ce pas,tom n'est pas sérieux n'est ce pas
i'm going to stop trying to be friendly with you,je vais arrêter d'essayer d'être amical avec toi,je vais arrêter d'essayer d'être amical avec toi
he studied the flight of birds,il étudia le vol des oiseaux,il a étudié le vol des oiseaux
it's the dry season here,c'est la saison sèche ici,c'est la saison des saison ici
don't be so impatient,ne soyez pas si impatientes,ne sois pas tellement impatient
do you really believe in that stuff,croyez vous vraiment à ce genre de choses ,croyez vous vraiment aux trucs
i didn't know you were expecting anyone,j'ignorais que vous attendiez qui que ce soit,je ne savais pas que vous alliez qui que ce soit
he sometimes watches tv,il regarde parfois la télé,il regarde parfois la télévision
a leaf is falling,une feuille tombe,une nation est en train de tomber
i admire your bravery,j'admire ta bravoure,j'admire ta crise
which is your target,quelle est votre cible,quel est ta cible
we were really excited,nous étions vraiment excitées,nous étions vraiment excitée
where do you want these suitcases,où voulez vous que ces valises soient mises,où voulez vous ces valises
she writes to me once a month,elle m'écrit une fois par mois,elle me écrit une fois par mois
she'll tell him about it when she comes back,elle le lui dira lorsqu'elle reviendra,elle le dira lorsqu'elle revienne
i have difficulty breathing,c'est difficile de respirer,j'ai des difficultés à faire
i don't like being surprised,je n'aime pas que l'on me surprenne,je n'aime pas être surpris
is that all you're worried about,est ce tout ce dont vous vous inquiétez ,est ce tout ce que vous êtes inquiète
i wouldn't be so sure,je n'en serais pas si sûre,je ne serais pas tellement sûr
are you satisfied with your job,êtes vous content de votre travail ,êtes vous satisfait de votre travail
i am ashamed of having been rude to her,j'ai honte d'avoir été grossier envers elle,j'ai honte de son part
i know tom is unemployed,je sais que tom est sans travail,je sais que tom est en train de marcher
i can't be seen with you,je ne peux être vu en ta compagnie,je ne peux pas être vue avec vous
about how much will i have to pay for all the treatments,à peu près combien devrai je payer pour tous les traitements ,à propos combien je dois payer pour toutes les maintenant
he wiped the sweat from his forehead,il essuya la sueur de son front,il essuya la sueur de son mariage
everything will be fine now,tout ira bien maintenant,tout ira maintenant maintenant
he's going to regret this,il va le regretter,il va le regretter
how about having a barbecue party next sunday,que dis tu d'organiser un barbecue dimanche prochain,que diriez vous d'une mer dimanche prochain
i love the way tom thinks,j'aime la façon que tom a de penser,j'adore tom
who invited you here,qui t'a invité ici,qui vous a invité ici
please don't forget to put stamps on the letters that i gave you to mail,veuillez ne pas oublier d'apposer des timbres sur les lettres que je vous ai données à poster,n'oublie pas de mettre de timbres à la lettres que je t'ai donné à poster
how about a cup of coffee,que dites vous d'une tasse de café,que dites vous d'une tasse de café
i lost,j'ai perdu,j'ai perdu
the bus was full,le bus était plein,le bus était plein
i wasn't talking to you,je ne te parlais pas,je ne vous parlais pas
would you like to try it again,voulez vous essayer encore une fois,voudriez vous essayer encore
are you sure we can't repair this camera,es tu certain que nous ne pouvons pas réparer cet appareil photo,êtes vous sûres que nous ne pouvons pas réparer cet appareil photo
he is no fool,il n'est pas idiot,il n'est pas idiot
he didn't want to sell the book,il n'a pas voulu vendre le livre,il ne voulait pas vendre le livre
i went camping with my family,je suis allé camper en famille,je suis allé en vacances avec ma famille
do you have health insurance,es tu couvert par une assurance médicale,êtes vous en colère
that is sold at hardware stores,c'est vendu en quincaillerie,c'est vendu des magasins des magasins
i think you must be mistaken,je pense que vous devez vous tromper,je pense que vous devez vous vous détendre
neither of these is mine,il n'y en a aucune à moi,rien de ces miens
give it to whoever wants it,donne le à quiconque le veut,donne le à qui ce soit le veut
i really like snow,j'adore la neige,j'aime vraiment la neige
the result was disappointing,le résultat a été décevant,le résultat était décevant
how did you come by this painting,comment êtes vous entrée en possession de ce tableau,comment êtes vous venu par ce tableau
you're very timid,tu es fort timide,vous êtes très élégant
i don't want to burden you with my troubles,je ne veux pas vous accabler avec mes ennuis,je ne veux pas vous faire des problèmes de mes problèmes
it is impossible to substitute machines for people,il est impossible de substituer des machines aux humains,il est impossible de sauter des machines aux gens
my father cut wood with a saw,mon père a coupé le bois avec une scie,mon père a coupé le bois
he likes me,il m'apprécie,il me aime
didn't you go out,n'es tu pas sorti ,n'êtes vous pas sorti
the explanation of each fact took a long time,l'explication de chaque fait prit beaucoup de temps,la explication du temps prit longtemps
all of them are not poor,tous ne sont pas pauvres,tous les pauvres sont pauvres
follow my advice,suivez mon conseil,suis mon conseil
you're just not the person i thought you were,vous n'êtes simplement pas la personne que je pensais,vous n'êtes juste pas la personne que je pensais
tom has a dynamic personality,tom a une personnalité dynamique,tom a une personnalité très forte
come and see me when it is convenient for you,venez me voir quand cela vous convient,viens me voir quand c'est tout ce qui vous prend
tom called to say he'd be late,tom a appelé pour dire qu'il serait en retard,tom a appelé pour dire qu'il serait en retard
summer has come,l'été est arrivé,l'été est venu
her daughter has what it takes to be a good teacher,sa fille a l’étoffe d’une bonne enseignante,sa fille a l’étoffe d’un bon professeur
i have nothing to say with regard to that problem,je n'ai rien à dire en ce qui concerne ce problème,je n'ai rien à dire de ce problème
are you feeling better now,te sens tu mieux maintenant,vous sentez vous mieux maintenant
tom is an octogenarian,tom est octogénaire,tom est un coup d'œil
can i take your picture,puis je te prendre en photo,puis je prendre votre photo
he will never visit the town again,il ne visitera plus jamais la ville,il ne va jamais rendre à la ville
i was off duty at that time,je n'étais pas en service à ce moment là,je n'étais pas de service à ce moment
i told tom that mary was telling the truth,j'ai dit à tom que mary disait la vérité,j'ai dit à tom que mary était en vérité
try to make good use of your spare time,essaie d'utiliser ton temps libre à bon escient,essaie de faire bon usage de votre temps libre
why do you want to dress like that,pourquoi voulez vous vous habiller ainsi,pourquoi veux tu cette robe
is anyone on board,quiconque se trouve t il à bord,quiconque est il à bord
i'm looking forward to seeing you dance,je me réjouis de vous voir danser,je suis impatient de vous voir danser
an android is a kind of robot,un androïde est une sorte de robot,un peu de supposé dire du compte
we worry about your future,nous nous inquiétons de ton avenir,nous nous faisons du souci pour ton avenir
i went to the zoo yesterday,je suis allée au zoo hier,je suis allé au zoo hier
you're very astute,tu es fort astucieux,vous êtes très élégant
your dog is here,ton chien est là,votre chien est ici
i wasn't aware that tom was unhappy here,je ne savais pas que tom n'était pas heureux ici,je n'étais pas conscient que tom était malheureux
he gave away all his money to charity,il donna tout son argent aux œuvres,il a laissé tout son argent pour faire des neuf neuf
i think you know that's not true,je pense que vous savez que ce n'est pas vrai,je pense que vous savez que ce n'est pas vrai
you have a lot of work to do,vous avez beaucoup de travail à faire,tu as beaucoup de travail à faire
i wonder who,je me demande qui,je me demande qui
tom passed away last year,tom est décédé l'année dernière,tom est mort l'année dernière
he loves me,il m'aime,il m'aime
he was re elected mayor,il a été réélu maire,il a été élu maire
do not be shy your pronunciation is more or less correct,ne sois pas timide ta prononciation est plus ou moins correcte,ne sois pas timide ta prononciation est plus moins moins correcte
i don't want to be in pain,je ne veux pas avoir mal,je ne veux pas être dans la douleur
he looks suspicious,il a l'air méfiant,il a l'air facile
i know that i don't want to be married to you,je sais que je ne veux pas être marié avec toi,je sais que je ne veux pas te marier
they knew exactly how much of a risk they'd be taking,elles savaient exactement quel risque elles prendraient,ils savaient exactement quel risque ils se rendent elles
our sphere of influence has expanded so much since then,notre influence s'est beaucoup étendue depuis lors,nos neuf mètres de temps en temps
go over the choices again,reconsidérez les options,allez vous encore les options
tom probably bought it with the money his father gave him,tom l'a probablement acheté avec l'argent que lui avait donné son père,tom l'a probablement acheté à l'argent qu'il lui donna son père
she owns many valuable works,elle possède de nombreux ouvrages de valeur,elle possède beaucoup de valeur
i felt myself lifted up,je me suis senti soulevé,je me suis senti soulevé
i don't belong here,ce n'est pas mon monde,je ne suis pas là dedans
i always keep my promises,je tiens toujours mes promesses,je garde toujours mes promesses
i'm completely exhausted,je suis complètement vanné,je suis complètement épuisé
you are such a liar,tu es une de ces menteuses,vous êtes un menteur
the coat is too big for tom,le manteau est trop grand pour tom,le manteau est trop grande pour tom
you're looking very well,vous avez l'air très bien,vous cherchez très bien
you have to disappear,vous devez disparaître,il faut que vous vous êtes en train de se faire
who was that you were just talking to,à qui étiez vous en train de parler,qui était ce que tu parles
we're inside,nous sommes à l'intérieur,nous sommes à l'intérieur
we have ample time to catch our train,nous avons amplement le temps de prendre notre train,nous avons fait du temps de attraper notre train
we were taught that world war ii broke out in 1939,on nous a enseigné que la seconde guerre mondiale avait commencé en 39,nous avons enseigné que le monde guerre mondiale s'est fait en ce jour
how long have you been busy,pendant combien de temps étais tu occupée  ,combien de temps as tu été occupé
i don't have books to read,je n'ai pas de livres à lire,je n'ai pas de livres à lire
i'm not married,je ne suis pas mariée,je ne suis pas marié
can you wait until 2 30 this afternoon,peux tu attendre jusqu'à 14 h 30 cette après midi ,pouvez vous attendre jusqu'à 30 après midi
i didn't think we could do that,je ne croyais pas que nous pouvions faire cela,je n'ai pas pensé que nous puissions faire cela
please look for it,cherche la je te prie,veuillez le regarder
go put some clean clothes on,allez enfiler des vêtements propres,allez mettre des vêtements propres
tom came back from australia,tom est revenu d'australie,tom est revenu de australie
do we really want that,voulons nous vraiment cela ,voulons nous vraiment cela
find a job,trouve un boulot,trouve un travail
you need to leave here at once,vous devez quitter cet endroit immédiatement,il faut que vous partiez ici immédiatement
we sure had fun didn't we,nous nous sommes vraiment bien amusés non,nous nous sommes sûrs que nous ne sommes pas amusés
the hunter shot a bear,le chasseur abattit un ours,le petit départ
he speaks french as well as english,non seulement il parle anglais mais il parle aussi français,il parle aussi bien que l'anglais
i do believe you,je te crois vraiment,je te crois
let's see if tom can help,voyons si tom peut aider,voyons si tom peut aider
you've got to take care of yourself,il te faut prendre soin de toi,vous devez prendre soin de vous
not all people like dogs,tous les gens n'apprécient pas les chiens,tous les gens n'aiment pas les chiens
she was engaged as an interpreter,elle a été engagée en tant qu'interprète,elle était tombée comme un homme
i don't know let me check,je l'ignore laissez moi vérifier,je ne sais pas me regarder
do you have a crush on my brother,vous êtes vous amourachée de mon frère,avez vous un coup de son frère
i want to have a part time job too,je veux également avoir un emploi à temps partiel,je veux avoir un travail à temps partiel
i would just like to thank all of you for your work,j'aimerais simplement vous remercier tous pour votre travail,je voudrais juste vous remercier tout votre travail
i haven't always been a teacher,je n'ai pas toujours été professeur,je n'ai pas toujours été enseignante
i like that one better,je préfère celle là,j'aime celui ci
i'm sure tom would be delighted,je suis sûr que tom serait ravi,je suis sûre que tom serait ravi
i am ashamed of my son's conduct,j'ai honte du comportement de mon fils,j'ai honte de mon fils
she snuck out the house without him knowing,elle s'est faufilée hors de la maison sans qu'il le sache,elle est sorti par la maison sans lui savoir
do you mind if i turn on the radio,cela vous dérange t il si j'allume la radio,voyez vous un inconvénient à ce que je passe à la radio
that's only the tip of the iceberg,ce n'est que la partie visible de l'iceberg,c'est juste le bout du bout du celui
this cake is sweet,ce gâteau ci est sucré,ce gâteau est sucré
have you already had breakfast,as tu déjà déjeuné,as tu déjà déjeuné
i don't want to sing,je n'ai pas envie de chanter,je ne veux pas chanter
my grandma has gotten very old,ma mamie est devenue très vieille,ma grand père est très vieille
this chair needs to be fixed,cette chaise a besoin d'être réparée,cette chaise a besoin d'être réparé
i knew you would do something great,je savais que tu ferais quelque chose de grand,je savais que tu ferais quelque chose de grande
we had less snow this winter than we had expected,nous avons eu moins de neige cet hiver que nous en attendions,nous avons eu moins de neige cet hiver que nous ne le avions
her eyes filled with tears,ses yeux s'emplirent de larmes,ses yeux ont ri aux larmes
i don't feel like watching tv tonight,je n'ai pas envie de regarder la télévision ce soir,je n'ai pas envie de regarder la télévision ce soir
we need to find somebody who can help us,nous avons besoin de trouver quelqu'un qui peut nous aider,nous devons trouver quelqu'un qui peut nous aider
i don't think i have what it takes to be a teacher,je ne pense pas avoir la carrure d’un enseignant,je ne pense pas avoir ce que ça prend pour devenir enseignant
it's ok with me,c'est bon pour moi,ça va avec moi
if you don't want to go you don't have to,si tu ne veux pas y aller tu n'y es pas obligé,si vous ne voulez pas vous y aller tu ne dois pas y aller
he is not guilty of murder,il n'est pas coupable de meurtre,il n'est pas coupable de meurtre
you are always welcome,vous serez toujours la bienvenue,vous êtes toujours bienvenue
i'm not the boss,je ne suis pas le patron,je ne suis pas le chef
i didn't make any promises,je n'ai fait aucune promesse,je n'ai pas fait des promesses
i really enjoyed last night,je me suis vraiment bien amusée hier au soir,j'ai vraiment apprécié la nuit dernière
i hope that's good enough,j'espère que c'est assez bien,j'espère que c'est assez bon
more than 45 million americans live in poverty,plus de quarante cinq millions d'américains vivent dans la pauvreté,plus de cent des états unis vivent à la pauvreté
i was hurt by many people,j'ai été blessé par de nombreuses personnes,je me suis blessé par beaucoup de gens
they're young and healthy,ils sont jeunes et en bonne santé,ils sont jeunes et en bonne santé
they were admiring themselves,ils s'admiraient eux mêmes,ils se sont en train de se tenir
you were great,vous avez été super,vous étiez super
what do you know about tom's girlfriend,que sais tu de la petite amie de tom ,que connaissez vous de la petite amie de tom
she backed out at the last moment,elle fit machine arrière au dernier moment,elle a sorti au dernier moment
you were fantastic,vous étiez fantastique,vous étiez fantastique
your door was unlocked,votre porte était déverrouillée,ta porte était devenue
he doesn't know yet,il n'en sait encore rien,il ne sait pas encore
he has done his utmost for me,il a fait de son mieux pour moi,il a fait de son plus grand pour moi
we solved that problem in a week,nous avons résolu ce problème en une semaine,nous avons résolu ce problème une semaine
it's bad for the heart,c'est mauvais pour le cœur,c'est mauvais pour le cœur
i beg you to help me,je vous supplie de m'aider,je vous prie de m'aider
they incited him to commit the crime,elles l'incitèrent à commettre un crime,ils l'ont fait signe de prendre le crime
i fear that i might not be able to help you,je crains de ne pouvoir t'aider,je crains que je ne pourrais pas t'aider
i must destroy you,je dois vous détruire,il faut que je vous ai pris
