Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> never tell the truth when a lie will do . <end>, <start> ne jamais dire la verite tant qu un mensonge fera l affaire . <end>,ne dis pas la verite tant qu un mensonge fera l affaire . 
" <start> if he told me the truth , i would have forgiven him . <end>"," <start> s il m avait dit la verite , je lui aurais pardonne . <end>","s il m a raconte la verite , je lui serais dite . "
 <start> he didn t see anything . <end>, <start> il n a rien vu . <end>,il n a rien vu . 
 <start> i need a drink first . <end>, <start> il me faut d abord un verre . <end>,j ai besoin d un verre . 
 <start> i wish tom would stop that . <end>, <start> j aimerais que tom arrete cela . <end>,j espere que tom arrete cela . 
 <start> i spilled my drink . <end>, <start> j ai renverse ma boisson . <end>,j ai renverse mon verre . 
 <start> he has a huge ego . <end>, <start> il a un ego sur dimensionne . <end>,il n en reste pas la tete . 
 <start> you must take advantage of the opportunity . <end>, <start> tu dois saisir cette occasion . <end>,il vous faut accepter l occasion . 
 <start> you re overqualified for this job . <end>, <start> tu es surqualifiee pour cet emploi . <end>,tu es surqualifiee pour ce travail . 
 <start> we re newcomers . <end>, <start> nous sommes des nouvelles venues . <end>,nous sommes des nouveaux venus . 
 <start> some people in the crowd fired back . <end>, <start> quelques personnes dans la foule repliquerent . <end>,certaines personnes dans la foule s en retourne . 
 <start> we re all working hard . <end>, <start> nous travaillons tous dur . <end>,nous travaillons toutes dur . 
 <start> the wound left a scar on her arm . <end>, <start> la blessure lui laissa une cicatrice sur le bras . <end>,la blessure lui a laisse une cicatrice sur le bras . 
 <start> i ll be back . <end>, <start> je reviens . <end>,je reviendrai . 
 <start> they are running now . <end>, <start> ils courent maintenant . <end>,elles courent maintenant . 
 <start> don t smoke . <end>, <start> ne fumez pas . <end>,ne fumez pas . 
 <start> tom is dating someone . <end>, <start> tom sort avec quelqu un . <end>,tom sort avec quelqu un . 
 <start> let s examine the numbers . <end>, <start> examinons les nombres . <end>,examinons les nombres . 
 <start> i m cured . <end>, <start> je suis guerie . <end>,je suis gueri . 
 <start> i cannot bear the pain any more . <end>, <start> je ne supporte plus la douleur . <end>,je ne peux plus supporter la douleur . 
 <start> that s nothing to be ashamed of . <end>, <start> tu n as aucune honte a avoir . <end>,ce n est rien d autre . 
 <start> tom wiped his feet on the doormat . <end>, <start> tom essuya ses pieds sur le paillasson . <end>,tom essuya ses pieds sur le paillasson . 
 <start> i don t want to share the hotel room with a stranger . <end>, <start> je ne veux pas partager la chambre d hotel avec un inconnu . <end>,je ne veux pas partager l hotel avec un etranger . 
 <start> i m looking forward to seeing you dance . <end>, <start> je me rejouis de vous voir danser . <end>,j attends avec impatience de te voir danser . 
 <start> are you almost finished ? <end>, <start> avez vous presque fini ? <end>,avez vous presque termine ? 
 <start> they knew exactly what they were doing . <end>, <start> elles savaient exactement ce qu elles faisaient . <end>,elles savaient exactement ce qu ils faisaient . 
 <start> he begged for his life . <end>, <start> il supplia qu on epargne sa vie . <end>,il implora sa vie . 
 <start> i didn t even get one letter from her . <end>, <start> je n ai pas recu ne serait ce qu une lettre d elle . <end>,je n ai meme pas recu une lettre d elle . 
 <start> did you pass your exams ? <end>, <start> avez vous reussi vos examens ? <end>,avez vous passe vos examens ? 
 <start> what s this key for ? <end>, <start> a quoi sert cette cle ? <end>,quelle est la cle ? 
 <start> stop deluding yourself . <end>, <start> arretez de vous mentir a vous memes ! <end>,arretez de vous mentir a vous meme ! 
 <start> somebody is playing the piano . <end>, <start> quelqu un joue du piano . <end>,quelqu un est en train de jouer du piano . 
 <start> how did i get into this ? <end>, <start> comment me suis je fourre la dedans ? <end>,comment me suis je fourree la dedans ? 
 <start> unlock the door . <end>, <start> deverrouillez la porte ! <end>,deverrouille la porte ! 
 <start> don t you want something to eat ? <end>, <start> ne voulez vous pas quelque chose a manger ? <end>,ne veux tu pas quelque chose a manger ? 
 <start> i loved watching you dance . <end>, <start> j ai adore vous regarder danser . <end>,j ai adore te regarder danser . 
 <start> i thought we could talk . <end>, <start> je pensais que nous pourrions discuter . <end>,je pensais que nous pourrions discuter . 
 <start> can you see the picture ? <end>, <start> pouvez vous voir l image ? <end>,peux tu voir la toile ? 
 <start> how long did you live there ? <end>, <start> tu as habite la bas pendant combien de temps ? <end>,combien de temps y avez vous vecu ? 
 <start> i d like to be a teacher . <end>, <start> j aimerais etre professeur . <end>,j aimerais etre professeur . 
 <start> do you have a credit card ? <end>, <start> avez vous une carte de credit ? <end>,avez vous une carte de credit ? 
 <start> why is this light blinking ? <end>, <start> pourquoi cette lumiere clignote t elle ? <end>,pourquoi cette lumiere clignote t elle ? 
 <start> i was talking to you . <end>, <start> c est a toi que je parlais . <end>,je vous parlais . 
 <start> tom stepped into the elevator and pushed the button for the third floor . <end>, <start> tom entra dans l ascenseur et appuya sur le bouton du troisieme etage . <end>,tom entra dans l ascenseur et appuya sur le bouton du troisieme etage . 
 <start> i can t help you unless you tell me the truth . <end>," <start> je ne peux pas vous aider , a moins que vous me disiez la verite . <end>",je ne peux pas vous aider a me dire la verite . 
 <start> she knew the teen . <end>, <start> elle connaissait l ado . <end>,elle connaissait l adolescente . 
 <start> you re not interrupting anything . <end>, <start> vous n interrompez rien . <end>,tu n interrompez rien du tout . 
 <start> we re going out . <end>, <start> nous sortons . <end>,nous sortons . 
 <start> tom is good at diving . <end>, <start> tom est bon en plongee . <end>,tom est bon plongeur . 
 <start> i lost my dog . <end>, <start> j ai perdu mon chien . <end>,j ai perdu mon chien . 
 <start> she gave me a book for christmas . <end>, <start> elle m a offert un livre pour noel . <end>,elle m a donne un livre pour noel . 
 <start> tom talked . <end>, <start> tom a parle . <end>,tom parla . 
 <start> my cholesterol went down . <end>, <start> mon cholesterol a baisse . <end>,mon cholesterol a baisse . 
 <start> i can t believe that you aren t at least willing to consider the possibility of other alternatives . <end>, <start> je n arrive pas a croire que vous ne soyez pas tout au moins disposees a envisager d autres possibilites . <end>,je n arrive pas a croire que vous ne soyez pas au moins disposee a envisager d autres possibilites . 
 <start> you can trust me . <end>, <start> vous pouvez avoir confiance en moi . <end>,tu peux te faire confiance . 
" <start> when i told him that , he got furious . <end>"," <start> lorsque je le lui dis , il se facha . <end>","quand je lui ai dit ca , il est devenues furieux . "
 <start> who forced you to do that ? <end>, <start> qui vous a forces a le faire ? <end>,qui vous a forcees a faire ca ? 
 <start> would you be willing to help me clean the garage ? <end>, <start> seriez vous pretes a m aider a nettoyer le garage ? <end>,seriez vous disposee a m aider a nettoyer le garage ? 
 <start> we re all in this together . <end>, <start> nous y sommes tous ensemble . <end>,nous sommes tous dans le meme bateau . 
 <start> i talked to my friend in the fbi . <end>, <start> j ai parle a mon ami des renseignements generaux . <end>,j ai parle a mon ami aux renseignements generaux . 
 <start> this is not true love . <end>, <start> ce n est pas du veritable amour . <end>,ce n est pas l amour veritable . 
 <start> you re probably tired . <end>, <start> vous etes probablement fatiguee . <end>,tu es probablement fatiguee . 
 <start> the boy talks as if he were a man . <end>, <start> l enfant parle comme s il etait un homme . <end>,le garcon parle comme s il etait un homme . 
 <start> you stick out like a sore thumb . <end>, <start> vous ne passez pas inapercu ! <end>,tu ne passes pas inapercu ! 
 <start> karaoke is good for reducing stress . <end>, <start> le karaoke est bon pour diminuer le stress . <end>,le karaoke est bon pour diminuer le stress . 
 <start> there are no drugs here . <end>," <start> il n y a pas de drogues , ici . <end>","il n y a pas de medicaments , ici . "
 <start> he inherited the business from his father . <end>, <start> il herita le commerce de son pere . <end>,il herita le commerce de son pere . 
 <start> you don t need to do that . <end>, <start> vous n avez pas besoin de faire ca . <end>,tu n as pas besoin de faire ca . 
 <start> i appreciate you stopping by . <end>, <start> je vous suis reconnaissant de vous arreter . <end>,je vous suis reconnaissant de vous arreter . 
 <start> don t do this . <end>, <start> ne faites pas ca ! <end>,ne faites pas ca . 
 <start> i won t let you go there . <end>, <start> je ne vous laisserez pas y aller . <end>,je ne vous laisserai pas y aller . 
 <start> that s not enough . <end>, <start> ce n est pas suffisant . <end>,ce n est pas suffisant . 
 <start> at least thirty students were absent . <end>, <start> au moins trente etudiants etaient absents . <end>,au moins trente etudiants etaient absents . 
 <start> tom is quite cooperative . <end>, <start> tom est plutot cooperatif . <end>,tom est tout a fait suffisant . 
 <start> you should not have lent the money to such a person . <end>, <start> tu n aurais pas du preter cet argent a une telle personne . <end>,vous n auriez pas du preter de l argent a une telle personne . 
 <start> i taught my girlfriend how to drive . <end>, <start> j ai appris a conduire a ma copine . <end>,j ai appris a conduire a ma petite amie . 
 <start> thanks for all you ve done to make my special day such a memorable one . <end>, <start> merci pour tout ce que vous avez fait pour rendre si memorable cette journee speciale pour moi . <end>,merci pour tout ce que vous avez fait de rendre visite un tel jour pour moi . 
 <start> i ve been to almost every state . <end>, <start> j ai ete dans presque tous les etats . <end>,ca fait presque chaque etat . 
 <start> tom did it all . <end>, <start> tom a tout fait . <end>,tom l a tout fait . 
" <start> she always says nice things about him , especially when he s around . <end>"," <start> elle dit toujours de chouettes trucs sur lui , particulierement lorsqu il est dans les parages . <end>","elle dit toujours des choses a son sujet , particulierement lorsqu il est en . "
 <start> get tom to help you . <end>, <start> convaincs tom de t aider . <end>,persuade tom de t aider . 
 <start> i ran into a friend of mine on the bus . <end>, <start> je suis tombee sur une amie a moi dans le bus . <end>,je suis tombe sur une amie a moi dans le bus . 
 <start> they worked each day from the time the sun rose until it set . <end>, <start> ils travaillaient tous les jours a partir du moment ou le soleil se levait jusqu a ce qu il se couche . <end>,ils se travaillent chaque jour du soleil se passe jusqu a ce que ce chat . 
 <start> i ll stay with tom until you return . <end>, <start> je resterai avec tom jusqu a votre retour . <end>,je resterai avec tom jusqu a ce que tu partes . 
 <start> i ve got a job and i don t want to lose it . <end>, <start> j ai un boulot et ne veux pas le perdre . <end>,j ai un boulot et ne veux pas perdre . 
 <start> horses run fast . <end>, <start> un cheval court vite . <end>,les chevaux court rapidement . 
" <start> hopefully , the weather will be good . <end>", <start> esperons que la meteo sera bonne . <end>,esperons que le temps sera beau . 
 <start> put it on my bill . <end>, <start> mettez le sur mon compte ! <end>,mets le sur mon compte . 
 <start> keep off the grass ! <end>, <start> ne marchez pas sur la pelouse ! <end>,pelouse interdite . 
 <start> are you sure this is a good idea ? <end>, <start> etes vous surs que ce soit une bonne idee ? <end>,es tu sure que c est une bonne idee ? 
 <start> tom wanted mary to cooperate . <end>, <start> tom voulait que marie cooperat . <end>,tom voulait que marie cooperat . 
" <start> hold the elevator , tom . <end>"," <start> retiens l ascenseur , tom . <end>","tiens l ascenseur , tom . "
 <start> i told you so . <end>, <start> je te l avais dit ! <end>,je t ai dit cela . 
 <start> you didn t make it clear . <end>," <start> dans ta bouche , ca n etait pas clair . <end>",ca ne l a pas fait clair . 
 <start> may i bother you for a moment ? <end>, <start> puis je te deranger un moment ? <end>,puis je vous deranger un moment ? 
 <start> tom asked if you d be there . <end>, <start> tom a demande si vous y seriez . <end>,tom a demande si tu serais la . 
 <start> they all envied my new car . <end>, <start> ils etaient tous jaloux de ma nouvelle voiture . <end>,ils etaient tous jaloux de ma nouvelle voiture . 
 <start> he ate up the steak and ordered another . <end>, <start> il mangea le steak et en commanda un autre . <end>,il a mange le steak et en commanda un autre . 
 <start> nobody likes being laughed at . <end>, <start> personne n aime qu on se moque de lui . <end>,personne n aime qu on se moque de lui . 
 <start> she was accused of lying . <end>, <start> elle a ete accusee d avoir menti . <end>,elle fut accusee de mentir . 
 <start> tom drove his car to boston . <end>, <start> tom a conduit sa voiture jusqu a boston . <end>,tom a conduit sa voiture a boston . 
 <start> tom said you wanted to see me . <end>, <start> tom a dit que vous vouliez me voir . <end>,tom a dit que tu voulais me voir . 
 <start> would you mind taking a picture of us ? <end>, <start> voulez vous bien prendre une photo de nous ? <end>,cela te derange t il de prendre une photo ? 
 <start> i feel fine now . <end>," <start> je me sens bien , maintenant . <end>","je me sens bien , maintenant . "
" <start> it ll take some time , but i think i ll be able to learn how to play the guitar . <end>"," <start> ca prendra un peu de temps , mais je pense que je serai capable d apprendre a jouer de la guitare . <end>","ca prendra du temps , mais je pense que je serai capable d apprendre de jouer de la guitare . "
 <start> i don t like your name . <end>, <start> je n aime pas ton prenom . <end>,je n aime pas votre nom . 
 <start> it s a great night to go dancing . <end>, <start> c est une belle nuit pour aller danser . <end>,c est une belle nuit pour aller danser . 
 <start> my jeans shrank . <end>, <start> mon jeans a retreci . <end>,mon jeans a retreci . 
 <start> tom lives next door to us . <end>, <start> tom habite la porte a cote . <end>,tom habite a cote de chez nous . 
 <start> i can t say i m sorry . <end>, <start> je ne peux pas dire que je sois desolee . <end>,je ne peux pas dire que je sois desolee . 
 <start> nice timing . <end>, <start> bien calcule ! <end>,pile ! 
 <start> we should always try to help others . <end>, <start> nous devrions toujours essayer d aider les autres . <end>,nous devrions toujours essayer d aider les autres . 
 <start> can you close the door ? <end>, <start> pouvez vous fermer la porte ? <end>,arrives tu a fermer la porte ? 
 <start> you re cantankerous . <end>, <start> tu es acariatre . <end>,tu es acariatre . 
 <start> you want to go out for a drink ? <end>, <start> voulez vous sortir prendre un verre ? <end>,tu veux sortir prendre un verre ? 
 <start> is this really happening ? <end>, <start> est ce vraiment en train d arriver ? <end>,est ce vraiment en train de se produire ? 
 <start> i owe you nothing . <end>, <start> je ne te dois rien . <end>,je ne vous dois rien . 
 <start> where were you yesterday evening ? <end>, <start> ou etais tu hier soir ? <end>,ou etais tu hier soir ? 
 <start> the time for talking is over . <end>, <start> le temps de la discussion est passe . <end>,le temps de discuter est termine . 
 <start> she got married at the age of seventeen . <end>, <start> elle s est mariee a l age de dix sept ans . <end>,elle s est mariee a dix sept ans . 
 <start> the apple trees blossomed early this year . <end>, <start> les pommiers ont fleuri tot cette annee . <end>,les pommiers ont fleuri tot cette annee . 
 <start> the author s name is familiar to us . <end>, <start> le nom de l auteur nous est familier . <end>,le nom de l auteur nous connait familier . 
 <start> don t be afraid of making mistakes . <end>, <start> n ayez pas peur de vous tromper . <end>,n aie pas peur de te faire des erreurs . 
" <start> when mary reached the bus stop , the last bus had already left . <end>"," <start> quand mary atteignit l arret de bus , le dernier bus etait deja parti . <end>","quand mary atteignit l arret de bus , le dernier bus etait deja parti . "
 <start> i got lost three times . <end>, <start> je me suis perdu trois fois . <end>,je me suis perdu trois fois . 
 <start> focus on the details . <end>, <start> concentre toi sur les details . <end>,concentre toi dans les details ! 
 <start> you re being paranoid . <end>, <start> tu es paranoiaque . <end>,tu es paranoiaque . 
 <start> we remember . <end>, <start> nous nous souvenons . <end>,nous nous en souvenons . 
 <start> the earth moves around the sun . <end>, <start> la terre tourne autour du soleil . <end>,la chute tourne autour du soleil . 
 <start> no one is home . <end>, <start> personne n est chez lui . <end>,personne n est a la maison . 
 <start> i come from holland . <end>, <start> je viens de hollande . <end>,je viens de hangzhou . 
" <start> if it were not for exams , we would be happy . <end>"," <start> a part les examens , nous serions contents . <end>","s il n y avait les examens , nous serions contents . "
" <start> you can make , or payments . <end>"," <start> vous pouvez payer en quatre , six ou douze fois . <end>","on peut faire , maintenant . "
 <start> this party is awesome . <end>, <start> cette fete est geniale . <end>,cette fete est geniale . 
 <start> they re all waiting . <end>, <start> elles sont toutes en train d attendre . <end>,ils attendent tous . 
 <start> i have a new red car . <end>, <start> j ai une nouvelle voiture rouge . <end>,j ai une nouvelle voiture rouge . 
" <start> bring me the phone , tom . <end>"," <start> donne moi le telephone , tom . <end>",apporte moi le telephone . 
 <start> i wasn t invited . <end>, <start> je n ai pas ete invitee . <end>,je n etais pas invite . 
 <start> what are you going to be when you grow up ? <end>, <start> tu veux faire quoi quand tu seras grand ? <end>,qu allez vous etre lorsque vous deviendrez grands ? 
" <start> something happened here , but i don t know what . <end>"," <start> quelque chose a eu lieu ici , mais je ne sais pas quoi . <end>","quelque chose s est produit ici , mais j ignore quoi . "
 <start> i thought you might be upset . <end>, <start> je pensais que tu pourrais etre contrariee . <end>,je pensais que tu pourrais etre contrarie . 
 <start> i don t even want to know . <end>, <start> je ne veux meme pas savoir . <end>,je ne veux meme pas savoir . 
 <start> tell me why i shouldn t fire you . <end>, <start> dis moi pourquoi je ne devrais pas te virer . <end>,dites moi pourquoi je ne devrais pas vous renvoyer . 
 <start> there also was another reason . <end>, <start> il y avait aussi une autre raison . <end>,il y avait egalement une autre raison . 
 <start> what do you want me to say ? <end>, <start> que voulez vous que je dise ? <end>,que veux tu que j dise ? 
" <start> do you have a mobile , tom ? <end>"," <start> tu as un portable , tom ? <end>","as tu un portable , tom ? "
 <start> tom even likes cold pizza . <end>, <start> tom aime meme la pizza froide . <end>,tom aime meme la pizza froide . 
 <start> please do not try this at home . <end>, <start> merci de ne pas tenter cela chez moi . <end>,veuillez ne pas tenter cela chez vous . 
 <start> tell the maid to make the beds . <end>, <start> dites a la domestique de faire les lits . <end>,dis a la domestique de faire les lits . 
 <start> he s studying . <end>, <start> il etudie . <end>,il est en train d etudier . 
 <start> i can t believe i m doing this . <end>, <start> je n arrive pas a croire que je le fasse . <end>,je n arrive pas a croire que je le fasse . 
 <start> tom didn t say a word . <end>, <start> tom ne dit mot . <end>,tom n a pas dit un mot . 
 <start> you need to fix this . <end>, <start> il te faut reparer ca . <end>,il te faut reparer ca . 
 <start> i m not convinced that you re telling the truth . <end>, <start> je ne suis pas convaincue que vous disiez la verite . <end>,je ne suis pas convaincu que tu dis la verite . 
 <start> they bought a box of cookies . <end>, <start> ils ont achete une boite de biscuits . <end>,ils ont achete une boite de biscuits . 
 <start> i m willing to apologize . <end>, <start> je suis dispose a faire mes excuses . <end>,je suis dispose a presenter mes excuses . 
 <start> they danced until six in the morning . <end>, <start> elles ont danse jusqu a six heures du matin . <end>,ils danserent jusqu a six heures du matin . 
 <start> i felt scared . <end>, <start> je me sentis apeuree . <end>,je me sentis apeuree . 
 <start> he avenged his father . <end>, <start> il a venge son pere . <end>,il a venge son pere . 
 <start> i don t like big dogs . <end>, <start> je n aime pas les gros chiens . <end>,je n aime pas les molosses . 
 <start> the lake is a long way from here . <end>, <start> le lac est loin d ici . <end>,le lac est loin d ici . 
 <start> it s all here . <end>, <start> tout est ici . <end>,c est tout ici . 
 <start> the house has all the conveniences . <end>, <start> la maison est dotee de tous les equipements . <end>,la maison est dotee de tous les equipements . 
 <start> i have no idea who tom is . <end>, <start> je n ai aucune idee de qui est tom . <end>,je n ai aucune idee de qui est tom . 
 <start> there is a small pond in our garden . <end>, <start> notre jardin comporte un petit etang . <end>,il y a un petit etang dans notre jardin . 
 <start> he has no chance of recovering . <end>, <start> il n a aucune chance de remission . <end>,il n a aucune chance de remission . 
 <start> i didn t think you d show up . <end>, <start> je ne pensais pas que tu te montrerais . <end>,je ne pensais pas que vous vous montreriez . 
 <start> are you finished reading the newspaper ? <end>, <start> avez vous fini de lire le journal ? <end>,avez vous termine de lire le journal ? 
 <start> i don t have one . <end>, <start> je n en ai pas . <end>,je n en ai pas . 
 <start> she advised him not to spend all his money on his girlfriend . <end>, <start> elle lui recommanda de ne pas depenser tout son argent pour sa petite amie . <end>,elle lui recommanda de ne pas depenser tout son argent sur sa petite amie . 
 <start> he raised his hat . <end>, <start> il a leve son chapeau . <end>,il leva son chapeau . 
 <start> can i make you a drink ? <end>, <start> puis je vous servir un verre ? <end>,puis je vous faire un verre ? 
 <start> tom seems to have trouble walking . <end>, <start> tom semble avoir du mal a marcher . <end>,tom semble avoir du mal a marcher . 
 <start> i finally understand what you re saying . <end>, <start> je comprends enfin ce que vous dites . <end>,je comprends enfin ce que tu es en train de dire . 
" <start> obviously , she s sick . <end>"," <start> manifestement , elle est malade . <end>","a l evidence , elle est malade . "
 <start> whoever gets home first starts cooking the supper . <end>, <start> celui qui arrive a la maison en premier commence a preparer le diner . <end>,qui que ce soit qui est en premier commence a preparer le diner . 
 <start> the nurse gave you a sedative . <end>, <start> l infirmiere t a donne un sedatif . <end>,l infirmiere t a donne un sedatif . 
 <start> there is a little water left . <end>, <start> il reste un peu d eau . <end>,il reste un peu d eau . 
 <start> you work too hard these days . aren t you tired ? <end>, <start> vous travaillez trop ces derniers temps . n etes vous donc pas fatigues ? <end>,"vous travaillez trop dur , ces jours ci ou vous n etes pas fatiguee ? "
 <start> don t you have work today ? <end>," <start> n as tu pas de travail , aujourd hui ? <end>",n avez vous pas de travail aujourd hui ? 
 <start> i m sorry i ve kept you waiting so long . <end>," <start> je vous ai fait attendre longtemps , je vous prie de m excuser . <end>",je suis desolee de vous avoir fait attendre si longtemps . 
" <start> next person , please . <end>"," <start> personne suivante , s il vous plait . <end>","la personne suivante , s il vous plait . "
 <start> were you nervous during the job interview ? <end>, <start> etiez vous nerveux au cours de l entretien d embauche ? <end>,etiez vous nerveuse au cours ? 
 <start> she may not wait any longer . <end>, <start> il se peut qu elle n attende pas plus longtemps . <end>,elle n a peut etre pas attendre plus longtemps . 
 <start> the two families live under one roof . <end>, <start> les deux familles vivent sous le meme toit . <end>,les deux familles resident sous un seul complet . 
 <start> the evidence is fairly conclusive . <end>, <start> la preuve est assez concluante . <end>,les preuves sont assez spartiates . 
 <start> tom s way of speaking got on my nerves . <end>, <start> la facon de parler de tom me tapa sur les nerfs . <end>,la facon de tom se leva sur les nerfs . 
 <start> i wish i had married her . <end>, <start> j aurais voulu l epouser . <end>,si seulement j etais marie . 
" <start> i went on vacation , and my plants are still alive . <end>"," <start> je suis parti en vacances , et mes plantes sont encore en vie . <end>","je suis parti en vacances , et mes plantes sont encore en vie . "
 <start> not everybody is the same . <end>, <start> tout le monde n est pas identique . <end>,tout le monde n est pas identique . 
 <start> do you know of a good motel in the area ? <end>, <start> vous connaissez un bon motel pas loin ? <end>,connaissez vous un bon motel pas loin ? 
 <start> i wish he were here now . <end>, <start> j aimerais qu il soit la maintenant . <end>,j aimerais qu il soit la maintenant . 
 <start> don t knock it unless you try it first . <end>, <start> ne le critique pas a moins de l avoir d abord essaye ! <end>,ne le trouve pas a moins que tu ne l ai pas essaye ! 
 <start> why did you come to japan ? <end>, <start> pourquoi es tu venu au japon ? <end>,pourquoi etes vous venus au japon ? 
 <start> he presented an argument for the war . <end>, <start> il presenta un argument en faveur de la guerre . <end>,il presenta un argument en la guerre . 
 <start> tom sweated . <end>, <start> tom a transpire . <end>,tom a transpire . 
