Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> what you said makes absolutely no sense to me . <end>, <start> ce que tu as dit n a pour moi absolument aucun sens . <end>,ce que vous avez dit n a absolument aucun sens pour moi . 
 <start> i can t let you in there . <end>, <start> je ne peux pas vous autoriser a entrer la . <end>,je ne peux pas vous le permettre . 
 <start> i expect that tom will pass the exam . <end>, <start> je m attends a ce que tom ait son examen . <end>,j estime que tom reussisse l examen . 
 <start> why didn t you talk to me about it ? <end>, <start> pourquoi ne m en as tu pas parle ? <end>,pourquoi ne m en avez vous pas parle ? 
 <start> that was nice . <end>, <start> c etait sympa . <end>,c etait chouette . 
 <start> you d better come . <end>, <start> vous feriez mieux de venir . <end>,tu ferais mieux de venir . 
 <start> there was fear in his eyes . <end>, <start> il y avait de la peur dans ses yeux . <end>,il y avait la peur dans ses yeux . 
 <start> anything else ? <end>, <start> autre chose ? <end>,autre chose ? 
 <start> tom said that he was going to be late . <end>, <start> tom a dit qu il allait etre en retard . <end>,tom a dit qu il allait etre en retard . 
 <start> tom didn t come to school today because he had to go to a funeral . <end>, <start> tom n est pas venu a l ecole aujourd hui parce qu il devait aller a un enterrement . <end>,tom n est pas venu a l ecole aujourd hui parce qu il devait se rendre a un enterrement . 
 <start> my hands were shaking too much to thread the needle . <end>, <start> mes mains tremblaient trop pour enfiler l aiguille . <end>,mes mains tremblent trop pour enfiler l aiguille . 
 <start> she gave me an album as a birthday present . <end>, <start> elle m a offert un album en tant que cadeau d anniversaire . <end>,elle m a donne un cadeau pour un cadeau d anniversaire . 
 <start> can we get some sleep ? <end>, <start> on peut dormir un peu ? <end>,pouvons nous avoir un peu de sommeil ? 
 <start> i suppose we could walk . <end>, <start> je suppose que nous pourrions marcher . <end>,je pense que nous pourrions marcher . 
" <start> would you tell me the time , please ? <end>"," <start> voudrais tu , je te prie , m indiquer l heure ? <end>","pourriez vous me dire l heure , s il vous plait ? "
 <start> you re not telling the truth . <end>, <start> vous ne dites pas la verite . <end>,tu ne dis pas la verite . 
 <start> this company is indifferent to the safety of its workers . <end>, <start> cette entreprise est indifferente a la securite de ses employes . <end>,cette entreprise est indispensable a la securite de ses salaries . 
 <start> are you sincere ? <end>, <start> etes vous sincere ? <end>,es tu sincere ? 
 <start> i think of you as a friend . <end>, <start> je pense a vous en tant qu ami . <end>,je pense a vous en tant qu amie . 
 <start> she is a very intelligent young lady . <end>, <start> c est une jeune femme tres intelligente . <end>,c est une jeune fille tres intelligent . 
 <start> i knew too much . <end>, <start> j en savais trop . <end>,je savais trop . 
 <start> you re in love . <end>, <start> vous etes amoureuse . <end>,tu es amoureuse . 
 <start> they are not sisters . <end>, <start> elles ne sont pas s urs . <end>,ils sont pas s urs . 
 <start> advertising sells products over the air . <end>, <start> la publicite vend des produits sur les ondes . <end>,la publicite vend des produits sur les ondes . 
 <start> tom s alone . <end>, <start> tom est tout seul . <end>,tom est tout seul . 
 <start> they re idiots . <end>, <start> ils sont idiots . <end>,elles sont idiots . 
 <start> i m here to see the manager . <end>, <start> je suis ici pour voir le gerant . <end>,je suis ici pour voir le gerant . 
 <start> what part of australia do you come from ? <end>, <start> de quelle partie de l australie venez vous ? <end>,de quel coin de australie venez vous ? 
 <start> i ll give you as many as you like . <end>, <start> je vous en donnerai autant que vous en voulez . <end>,je te donnerai autant que tu en veux . 
 <start> this boat is seaworthy . <end>, <start> le navire est en etat de naviguer . <end>,le prisonnier est en etat de etat . 
 <start> i was so disappointed . <end>, <start> j etais tellement decue . <end>,j etais tellement decu . 
 <start> how about running ? <end>, <start> si on allait courir ? <end>,et si nous courions ? 
 <start> how many kinds are there ? <end>, <start> combien y en a t il de sortes ? <end>,combien y a t il de sortes ? 
 <start> i m very happy . <end>, <start> je suis tres heureux . <end>,je suis tres heureux . 
 <start> women feel that men are often very complicated . <end>, <start> les femmes trouvent que les hommes sont souvent tres compliques . <end>,les femmes se sont souvent si compliquees . 
 <start> i hear tom was the one who taught you how to play the cello . <end>, <start> j ai entendu que c est tom qui t a appris a jouer du violoncelle . <end>,j ai entendu que tom etait celui qui t a appris a jouer du violoncelle . 
 <start> they live near the beach . <end>, <start> ils vivent pres de la plage . <end>,ils habitent pres de la plage . 
 <start> do you plan to go abroad ? <end>, <start> prevoyez vous de vous rendre a l etranger ? <end>,prevois tu de te rendre a l etranger ? 
" <start> i didn t feel well , but i went to work . <end>"," <start> je ne me sentais pas bien , mais je suis alle travailler . <end>","je n ai pas bien reussi , mais je suis alle travailler . "
 <start> i bet you know french . <end>, <start> je parie que tu connais le francais . <end>,je parie que vous savez le francais . 
 <start> i know you re not like that . <end>, <start> je sais que tu n es pas comme ca . <end>,je sais que tu n es pas comme ca . 
 <start> he died of a heart attack . <end>, <start> il est mort d une crise cardiaque . <end>,il est mort d une crise cardiaque . 
 <start> he asked me for money . <end>, <start> il m a demande de l argent . <end>,il m a demande de l argent . 
 <start> what s your favorite item of clothing ? <end>, <start> quel est ton vetement prefere ? <end>,quel est ton marque de portee ? 
 <start> are you with the fbi ? <end>, <start> es tu avec le fbi ? <end>,etes vous avec le fbi ? 
 <start> she held him like mother gorillas hold their babies . <end>, <start> elle le tint de la maniere dont les meres gorilles tiennent leurs bebes . <end>,elle le tint de la maniere aux meres gorilles tiennent leurs bebes . 
 <start> everyone s dead . <end>, <start> tout le monde est mort . <end>,tout le monde est mort . 
 <start> i almost forgot all about that . <end>, <start> j ai presque tout oublie a ce sujet . <end>,j ai presque tout oublie a propos de cela . 
 <start> may i borrow your dictionary ? <end>, <start> puis je emprunter ton dictionnaire ? <end>,puis je emprunter votre dictionnaire ? 
 <start> tom didn t know who mary was planning to marry . <end>, <start> tom ne savait pas avec qui marie envisageait de se marier . <end>,tom ne savait pas qui marie a prevoyait de se marier . 
 <start> i promise you i ll keep you safe . <end>, <start> je vous promets que je vous garderai en securite . <end>,je vous promets de vous garder en securite . 
 <start> she kicked him . <end>, <start> elle lui donna un coup de pied . <end>,elle l a frappe . 
 <start> i don t even like fish . <end>," <start> meme le poisson , je ne l aime pas . <end>",je n aime meme pas le poisson . 
 <start> i think it s reliable . <end>, <start> je pense que c est fiable . <end>,je pense que c est fiable . 
 <start> we re not desperate yet . <end>, <start> nous ne sommes pas encore desesperes . <end>,nous ne sommes pas encore desesperes . 
 <start> make it quick . <end>, <start> fais vite ! <end>,faites vite ! 
 <start> it s my duty to help you . <end>, <start> c est mon devoir de t aider . <end>,c est mon devoir de t aider . 
 <start> the house is not occupied now . <end>, <start> la maison est actuellement inoccupee . <end>,la maison est actuellement inoccupee . 
 <start> do you want to go fishing tomorrow ? <end>," <start> voulez vous aller pecher , demain ? <end>","voulez vous aller pecher , demain ? "
 <start> i m sure you have other skills . <end>, <start> je suis sure que vous avez d autres competences . <end>,je suis sure d avoir d autres competences . 
 <start> are you sure of it ? <end>, <start> en etes vous surs ? <end>,en es tu sure ? 
 <start> could i make a reservation ? <end>, <start> pourrais je faire une reservation ? <end>,puis je faire une reservation ? 
 <start> thank you ever so much . <end>, <start> grand merci . <end>,merci beaucoup . 
 <start> please help yourself . <end>, <start> servez vous s il vous plait . <end>,"je vous en prie , servez vous . "
 <start> tom peeked inside . <end>, <start> tom jeta un il a l interieur . <end>,tom jeta un coup d il a l interieur . 
 <start> this book is about stars . <end>, <start> ce livre parle des etoiles . <end>,ce livre est sur des etoiles . 
 <start> which program did you watch yesterday ? <end>, <start> quelle emission as tu regardee hier ? <end>,quelle emission avez vous regardee hier ? 
 <start> what is the book about ? <end>, <start> de quoi parle le livre ? <end>,qu est ce livre ? 
 <start> what do you call your mother ? <end>, <start> comment appelles tu ta mere ? <end>,comment appelles tu ta mere ? 
 <start> is this appropriate ? <end>, <start> est ce convenable ? <end>,est ce approprie ? 
 <start> pray for all of us . <end>, <start> priez pour nous tous ! <end>,priez pour nous tous ! 
 <start> it s thirty degrees below zero . <end>, <start> il fait moins trente . <end>,il fait trente zero . 
 <start> i had something planned . <end>, <start> j ai prevu quelque chose . <end>,j ai prevu quelque chose . 
 <start> i don t like your suggestion . <end>, <start> je n apprecie pas ta suggestion . <end>,je n aime pas votre suggestion . 
 <start> what a pleasant surprise ! <end>, <start> quelle agreable surprise ! <end>,quelle agreable surprise ! 
 <start> he reminded his wife to wake him up at a . m . <end>, <start> il a rappele a sa femme de le reveiller a heures du matin . <end>,il se cassa sa femme de l apprehender a elle . 
 <start> tom looks sad . <end>, <start> tom a l air triste . <end>,tom a l air triste . 
 <start> my bike is not anything like yours . <end>, <start> mon velo n a rien a voir avec le votre . <end>,mon velo n est rien a la tienne . 
 <start> i didn t want to intrude . <end>, <start> je ne voulais pas m imposer . <end>,je ne voulais pas m imposer . 
 <start> three were wounded . <end>, <start> trois furent blesses . <end>,trois ont ete blessees . 
" <start> i understand the sentence , but i m not able to translate it . <end>", <start> je comprends la phrase mais je ne suis pas en mesure de la traduire . <end>,je comprends la phrase mais je ne suis pas en mesure de traduire . 
 <start> i m looking for my watch . <end>, <start> je suis a la recherche de ma montre . <end>,je cherche ma montre . 
 <start> i really wish i could be there with you . <end>," <start> je souhaiterais vraiment pouvoir etre la , avec toi . <end>",j espere vraiment pouvoir etre la avec toi . 
 <start> tom had never seen mary that angry . <end>, <start> tom n avait jamais vu marie autant en colere . <end>,tom n avait jamais vu mary autant en colere . 
 <start> let s replace all of them . <end>, <start> remplacons les tous . <end>,remplacons les tous . 
 <start> you re not looking at the whole picture . <end>, <start> vous ne regardez pas l ensemble du tableau . <end>,tu ne regardes pas l ensemble du tableau . 
 <start> i really miss my girlfriend . <end>, <start> ma petite amie me manque vraiment . <end>,ma petite amie me manque vraiment . 
 <start> they shouldn t be doing that . <end>, <start> elles ne devraient pas faire cela . <end>,ils ne devraient pas faire ca . 
 <start> she decided to have the operation . <end>, <start> elle se decida a subir l operation . <end>,elle a decide de subir l operation . 
 <start> he says it s urgent . <end>, <start> il dit que c est urgent . <end>,il dit que c est urgent . 
 <start> i need you right now . <end>, <start> j ai immediatement besoin de toi . <end>,j ai immediatement besoin de vous . 
 <start> look up words you don t know in your dictionary . <end>, <start> cherchez les mots que vous ne connaissez pas dans votre dictionnaire . <end>,cherche les paroles que tu ne connais pas dans ton dictionnaire . 
 <start> he missed the train by one minute . <end>, <start> il a manque le train d une minute . <end>,il a manque son train d une minute . 
 <start> i noticed that i had grown up when i started following my parents advice . <end>, <start> j ai remarque que j avais grandi lorsque j ai commence a suivre les conseils de mes parents . <end>,j ai remarque que je disposais de pantalon lorsque j ai allume ma parole des parents . 
 <start> what did you call me ? <end>, <start> comment m as tu appelee ? <end>,comment m avez vous appele ? 
 <start> i understand your problem . <end>, <start> je comprends ton probleme . <end>,je comprends ton probleme . 
 <start> i pay most of my bills on the first of each month . <end>, <start> je paie la plupart de mes factures au premier du mois . <end>,je paie la plupart de mes factures sur le premier du mois . 
 <start> bacteria will not breed in alcohol . <end>, <start> les bacteries ne se reproduisent pas dans l alcool . <end>,les bacteries ne se reproduisent pas en alcool . 
 <start> i feel empowered . <end>, <start> je me sens investi de pouvoirs . <end>,je me sens investie de pouvoir . 
 <start> he departed for london the day before yesterday . <end>, <start> il partit pour londres avant hier . <end>,il est parti pour londres avant hier . 
 <start> good luck with that . <end>, <start> bonne chance avec ca ! <end>,bonne chance avec ca . 
 <start> tom often walks to school . <end>, <start> tom va souvent a l ecole en marchant . <end>,tom va souvent a l ecole a pied . 
 <start> tom should ve told us about this . <end>, <start> tom aurait du nous le dire . <end>,tom aurait du nous en parler . 
 <start> we offered him a nice job . <end>, <start> nous lui avons offert un beau poste . <end>,nous l avons offert un beau poste . 
 <start> i just don t want you to get hurt . <end>," <start> je ne veux pas que vous soyez blessee , un point c est tout . <end>",je ne veux tout simplement pas que tu sois blessee . 
 <start> wait for us . <end>, <start> attends nous ! <end>,attends de nous ! 
" <start> she cried and cried , but nobody came to comfort her . <end>", <start> elle pleura tant et plus mais personne ne vint la reconforter . <end>,elle pleura et pleura mais mais personne ne vint la reconforter . 
 <start> i think he s attracted to you . <end>, <start> je pense qu il est attire par toi . <end>,je pense qu il est attire par toi . 
 <start> they all looked happy . <end>, <start> elles avaient l air toutes contentes . <end>,ils avaient l air tous contents . 
 <start> what were you two doing there anyway ? <end>," <start> que faisiez vous toutes deux la , de toutes facons ? <end>",qu y faisiez vous tous les deux la ? 
" <start> i d like some sugar , please . <end>"," <start> j aimerais avoir du sucre , s il vous plait . <end>","j aimerais du sucre , s il vous plait . "
 <start> a detective arrived upon the scene of the crime . <end>, <start> un detective arriva sur la scene du crime . <end>,un detective est arrive sur le lieu de ce crime . 
 <start> is anyone coming besides your friends ? <end>, <start> quiconque vient il en dehors de tes amis ? <end>,quiconque vient il a part vos amis ? 
 <start> don t tell me what i already know . <end>, <start> ne me dis pas ce que je sais deja ! <end>,ne me dicte pas ce que je sais deja ! 
 <start> you have to take a shower . <end>, <start> tu dois prendre une douche . <end>,il vous faut prendre une douche . 
 <start> they greeted each other warmly . <end>, <start> elles se sont chaleureusement souhaite la bienvenue . <end>,ils se souhaiterent chaleureusement la bienvenue . 
 <start> napoleon was exiled to the island of elba in . <end>, <start> napoleon fut exile a l ile d elbe en . <end>,napoleon fut exile a l ile d elbe en . 
 <start> he was the only one not invited to the party . <end>, <start> il fut le seul a ne pas etre invite a la fete . <end>,il fut le seul a ne pas etre invite a la fete . 
 <start> tom and mary looked at each other uneasily . <end>," <start> tom et marie se regarderent , mal a l aise . <end>",tom et mary se regarderent l affaire en tete . 
 <start> that song reminds me of a certain girl . <end>, <start> cette chanson me rappelle une certaine fille . <end>,cette chanson me rappelle une certaine fille . 
 <start> your answer differs from mine . <end>, <start> ta reponse differe de la mienne . <end>,votre reponse differe de la mienne . 
 <start> i m not in a position to discuss that . <end>, <start> je ne suis pas en situation de discuter de ca . <end>,je ne suis pas en position de discuter de ca . 
 <start> you re not being very supportive . <end>, <start> vous ne me soutenez pas beaucoup . <end>,tu n es pas tres effrayee . 
 <start> it began to rain in the evening . <end>, <start> il commenca a pleuvoir dans la soiree . <end>,il commenca a pleuvoir dans la soiree . 
 <start> i believe this is mine . <end>, <start> je crois que ceci m appartient . <end>,je crois que c est le mien . 
 <start> that s not our only problem . <end>, <start> ce n est pas notre seul probleme . <end>,ce n est pas notre seul probleme . 
 <start> i just don t want to see you get disappointed . <end>, <start> je ne veux tout simplement pas vous voir etre decu . <end>,je ne veux tout simplement pas vous voir etre decu . 
 <start> watch your toes . <end>, <start> attention a tes orteils . <end>,regardez les orteils ! 
 <start> she had a choice of going or remaining . <end>, <start> elle avait le choix entre partir ou rester . <end>,elle avait le choix entre partir entre rester . 
 <start> i don t like leaving the job half done . <end>, <start> je n aime pas laisser le boulot a moitie fait . <end>,je n aime pas laisser la faire a moitie fait . 
 <start> why didn t you listen to him ? <end>, <start> pourquoi ne l avez vous pas ecoute ? <end>,pourquoi ne l avez vous pas ecoute ? 
 <start> i ll just have one or two beers . <end>, <start> je ne vais prendre qu une ou deux bieres . <end>,je n en aurai rien ou deux bieres . 
 <start> watch the front . <end>, <start> surveille le devant . <end>,surveille devant . 
 <start> i ve always liked that name . <end>, <start> j ai toujours aime ce nom . <end>,j ai toujours aime ce nom . 
 <start> i ll leave it up to you . <end>, <start> je vous laisse en decider . <end>,je te laisse en decider . 
 <start> i don t belong to any club . <end>, <start> je n appartiens a aucun cercle . <end>,je n appartiens pas a ce cercle . 
 <start> the boy was accompanied by his parents . <end>, <start> l enfant etait accompagne de ses parents . <end>,le garcon etait accompagne de ses parents . 
" <start> no matter how hard the training was , she never cried . <end>"," <start> la formation eut beau etre difficile , jamais elle ne pleura . <end>",la formation a eu beau etre difficile a l epreuve . 
 <start> i can t believe i m agreeing to this . <end>, <start> je ne peux pas croire que j en sois d accord . <end>,je n arrive pas a croire que je sois d accord avec ca . 
 <start> how did you come to hear of it ? <end>, <start> comment en avez vous entendu parler ? <end>,comment avez vous entendu en apprendre ? 
 <start> i need a concise explanation . <end>, <start> j ai besoin d une breve explication . <end>,j ai besoin d une breve explication . 
 <start> we have to get tom out of there . <end>, <start> nous devons sortir tom de la . <end>,nous devons sortir tom de la . 
 <start> that s what the law says . <end>, <start> c est ce que dit la loi . <end>,c est ce que la loi dit . 
" <start> he was sick , so he couldn t attend the party . <end>"," <start> il etait malade , de telle sorte qu il ne put assister a la fete . <end>","il etait malade , il ne put donc assister a la fete . "
" <start> when i don t have anything to say , i am not embarrassed to be quiet . <end>"," <start> lorsque je n ai rien a dire , ca ne me gene pas de rester silencieux . <end>","lorsque je n ai rien a dire , je ne suis pas en faveur d etre silencieux . "
 <start> do you like oysters ? <end>, <start> apprecies tu les huitres ? <end>,aimes tu les huitres ? 
 <start> it is now necessary to add another rule . <end>, <start> il est desormais necessaire de rajouter une nouvelle regle . <end>,il est maintenant necessaire de rajouter une nouvelle regle . 
 <start> we should get more organized . <end>, <start> nous devrions etre plus organises . <end>,nous devrions nous plus plus organises . 
 <start> i was so unhappy . <end>, <start> j etais si malheureux . <end>,j etais si malheureux . 
 <start> i was late for the meeting because of a traffic jam . <end>, <start> j etais en retard pour la reunion a cause d un embouteillage . <end>,j etais en retard pour la reunion a cause d un embouteillage . 
 <start> we came to the conclusion that he should be fired . <end>, <start> nous sommes arrives a la conclusion qu il devrait etre licencie . <end>,nous sommes arrives a la conclusion qu il devrait etre vire . 
 <start> too much is at stake . <end>, <start> l enjeu est capital . <end>,il y a en jeu . 
 <start> why didn t you run ? <end>, <start> pourquoi n avez vous pas couru ? <end>,pourquoi n etes vous pas couru ? 
 <start> are you sure you don t want coffee ? <end>, <start> etes vous sur de ne pas vouloir de cafe ? <end>,es tu sure de ne pas vouloir de cafe ? 
 <start> you should have known better . <end>, <start> tu n aurais pas du etre assez bete . <end>,tu aurais du savoir mieux . 
 <start> he stayed in bed because he wasn t feeling well . <end>, <start> il resta au lit parce qu il ne se sentait pas bien . <end>,il est reste au lit parce qu il ne se sentait pas bien . 
 <start> tom said he wanted to talk to me . <end>, <start> tom a dit qu il voulait me parler . <end>,tom a dit qu il voulait m entretenir . 
 <start> i ate too much . <end>, <start> j ai trop mange . <end>,j ai trop mange . 
