Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> i didn t know that tom was from boston . <end>, <start> j ignorais que tom etait de boston . <end>,je ne savais pas que tom etait de boston . 
 <start> it is just a year since i got married . <end>, <start> cela fait juste un an que je suis marie . <end>,ce n est qu un an que j etais mariee . 
 <start> the man connected two wires . <end>, <start> l homme connecta deux fils . <end>,l homme connecte deux fils . 
 <start> a careful reader would have noticed the mistake . <end>, <start> un lecteur attentif aurait note l erreur . <end>,une forte vendeuse aurait note l erreur . 
 <start> my cousin is hooked on smack . <end>, <start> ma cousine est accro a l hero . <end>,ma cousine est accro a l hero . 
 <start> i really appreciate you meeting with me . <end>, <start> j apprecie vraiment que vous me rencontriez . <end>,j apprecie vraiment que vous me rencontriez . 
 <start> somebody swiped my bag . <end>, <start> quelqu un m a vole mon sac . <end>,quelqu un m a vole mon sac . 
 <start> i was chilled to the bone . <end>, <start> j etais gele jusqu aux os . <end>,j etais gele jusqu aux os . 
 <start> keep your hands off my daughter ! <end>, <start> ne touchez pas ma fille ! <end>,maintiens tes pattes de ma fille ! 
 <start> we tried them all . <end>, <start> nous les avons toutes essayees . <end>,nous les avons toutes essayees . 
 <start> was that so hard ? <end>, <start> etait ce si difficile ? <end>,etait ce si difficile ? 
 <start> it s time for a coffee break . <end>, <start> c est l heure de faire une pause cafe . <end>,c est l heure de rompre . 
 <start> i was absent from school yesterday . <end>, <start> j etais absent de l ecole hier . <end>,j etais absent de l ecole hier . 
 <start> there must be a pattern . <end>, <start> il doit y avoir une recurrence . <end>,il doit y avoir un recurrence . 
 <start> there must be an easier way to do this . <end>, <start> il doit y avoir une facon plus simple de faire ca . <end>,il doit y avoir une facon plus difficile de faire ca . 
 <start> you re both pretty . <end>, <start> vous etes toutes les deux jolies . <end>,vous etes tous deux jolis . 
 <start> when did the show finish ? <end>, <start> quand le spectacle s est il termine ? <end>,quand le spectacle a t il termine ? 
 <start> i can t do what they do . <end>, <start> je ne peux pas faire ce qu ils font . <end>,je ne peux pas faire ce qu ils font . 
 <start> did you finish your paper ? <end>, <start> avez vous fini votre papier ? <end>,avez vous fini votre papier ? 
 <start> tom believed that john was his brother . <end>, <start> tom croyait que john etait son frere . <end>,tom croyait que john etait son frere . 
 <start> i wonder if he ll come tonight . <end>, <start> je me demande s il viendra ce soir . <end>,je me demande s il viendra ce soir . 
 <start> i just wanted to listen to some music . <end>, <start> je voulais juste ecouter un peu de musique . <end>,je voulais juste ecouter de la musique . 
 <start> did you hurt yourself ? <end>, <start> vous etes vous fait mal ? <end>,vous etes vous fait mal ? 
 <start> we need to clarify a few details . <end>, <start> nous avons besoin de clarifier quelques details . <end>,nous avons besoin de clarifier quelques details . 
" <start> come here , all of you . <end>"," <start> venez ici , toutes tant que vous etes ! <end>","venez ici , vous tous ! "
 <start> i m thin . <end>, <start> je suis mince . <end>,je suis mince . 
 <start> she is distantly related to him . <end>, <start> elle lui est vaguement apparentee . <end>,elle lui est apparentee de maniere lointaine . 
 <start> there s no need to hurry . we have plenty of time . <end>, <start> il n est pas necessaire de se presser . nous disposons de plein de temps . <end>,il n est pas necessaire de se presser . nous disposons de plein de temps . 
 <start> she is what one would call a cultured woman . <end>, <start> elle est ce qu on appelle une femme cultivee . <end>,elle est ce qu appelle une femme cultivee . 
 <start> do you have any idea how stupid i feel right now ? <end>, <start> as tu la moindre idee de combien je me sens desormais idiote ? <end>,avez vous la moindre idee de combien je me sens actuellement ? 
 <start> it ll be our secret . <end>, <start> ce sera notre secret . <end>,ca sera notre secret . 
 <start> be prepared . <end>, <start> tiens toi prete ! <end>,sois pret ! 
 <start> i didn t realize you could speak french . <end>, <start> je n ai pas pris conscience que tu savais parler le francais . <end>,je n ai pas realise que vous saviez parler francais . 
 <start> they gave it to me . <end>, <start> ils me l ont donne . <end>,ils me l ont donne . 
 <start> it s my dream to have a son who ll take over my business when i retire . <end>, <start> c est mon reve d avoir un fils qui prendra ma suite lorsque je prendrai ma retraite . <end>,c est mon reve de prendre un fils qui m amene de mes affaires lorsque je la retraite . 
 <start> he died yesterday . <end>, <start> il a creve hier . <end>,il est mort hier . 
 <start> keep trying . <end>, <start> continue d essayer . <end>,continuez a essayer . 
 <start> i remain skeptical . <end>, <start> je reste sceptique . <end>,je deprime sceptique . 
 <start> i m sure that won t be necessary . <end>, <start> je suis certain que ce ne sera pas necessaire . <end>,je suis sur que ca ne sera pas necessaire . 
 <start> i ve never eaten anything like this before . <end>, <start> je n ai jamais mange quelque chose de semblable auparavant . <end>,je n ai jamais mange quelque chose de tel auparavant . 
 <start> i stopped at the supermarket on my way home . <end>, <start> je me suis arrete au supermarche sur le chemin de la maison . <end>,j ai arrete le supermarche sur le chemin de la maison . 
 <start> the woman is reading . <end>, <start> la femme est en train de lire . <end>,la femme est en train de lire . 
 <start> you may use his library . <end>, <start> vous pouvez faire usage de sa bibliotheque . <end>,vous pouvez utiliser sa bibliotheque . 
 <start> that request was denied . <end>, <start> cette demande a ete rejetee . <end>,cette demande a ete acceptee . 
 <start> i want to lose a few pounds . <end>, <start> je veux perdre quelques kilos . <end>,je veux perdre quelques kilos . 
 <start> the zipper is stuck . <end>, <start> la fermeture eclair est coincee . <end>,la tirette est coincee . 
 <start> what do you have in your hand ? <end>, <start> qu as tu dans la main ? <end>,qu avez vous dans la main ? 
 <start> why are you so scared to talk to him ? <end>, <start> pourquoi avez vous si peur de lui parler ? <end>,pourquoi as tu si peur de lui parler ? 
 <start> may i borrow that book from you ? <end>, <start> puis je t emprunter ce livre ? <end>,puis je vous emprunter ce livre ? 
 <start> we re very grateful . <end>, <start> nous sommes tres reconnaissants . <end>,nous sommes tres reconnaissants . 
 <start> be quiet and listen . <end>, <start> ne dites rien et ecoutez . <end>,tais toi et ecoutez . 
 <start> we have a few surprises in store for her . <end>, <start> nous lui reservons quelques surprises . <end>,nous l avons quelques surprises . 
 <start> tom would ve made the same decision i m making if he were in my shoes . <end>, <start> tom aurait pris la meme decision que moi s il avait ete a ma place . <end>,tom aurait pris la meme decision que moi s il etait dans mes chaussures . 
 <start> tom told me you needed some money . <end>, <start> tom m a dit que vous aviez besoin d argent . <end>,tom m a dit que tu avais besoin d argent . 
 <start> there s room for improvement . <end>, <start> il y a de la place pour les ameliorations . <end>,il y a la place pour ameliorer . 
 <start> i don t believe in astrology . <end>, <start> je ne crois pas a l astrologie . <end>,je ne crois pas a l astrologie . 
 <start> he told me good things about you . <end>, <start> il m a dit de bonnes choses a votre sujet . <end>,il m a dit de bonnes choses a ton sujet . 
 <start> did you go to any famous gardens ? <end>, <start> etes vous alles dans un des jardins celebres ? <end>,etes vous alles dans le moindre des jardins celebres ? 
 <start> my grandfather has a dog . <end>, <start> mon grand pere a un chien . <end>,mon grand pere a un chien . 
 <start> what do you think i should pack for my trip ? <end>, <start> que pensez vous que je devrais mettre dans ma valise pour mon voyage ? <end>,que penses tu que je devrais mettre dans mon valise ? 
 <start> he is equal to the task . <end>, <start> il est a la hauteur de la tache . <end>,il est egal a la tache . 
 <start> i can t thank you enough . <end>, <start> je ne peux pas assez te remercier . <end>,je ne saurais vous remercier assez . 
 <start> anyone who criticizes him is asking for trouble . <end>, <start> quiconque le critique cherche des ennuis . <end>,qui que ce qui le rend indique a des ennuis . 
 <start> tom is afraid of you . <end>, <start> tom a peur de toi . <end>,tom a peur de toi . 
 <start> it s not that different . <end>, <start> ce n est pas si different . <end>,ce n est pas si different . 
 <start> we went too far . <end>, <start> nous allames trop loin . <end>,nous allames trop loin . 
 <start> this is the house where i lived when i was a child . <end>, <start> c est la maison ou j ai vecu lorsque j etais enfant . <end>,c est la maison ou je vivais etant enfant . 
 <start> who could have spread that news ? <end>, <start> qui aurait pu repandre cette nouvelle ? <end>,qui aurait pu repandre cette nouvelle ? 
 <start> i don t want to torment you any longer . <end>, <start> je ne veux pas te tourmenter davantage . <end>,je ne veux pas vous tourmenter davantage . 
 <start> don t take his remarks too literally . <end>, <start> ne prends pas ses remarques trop au pied de la lettre . <end>,ne prenez pas ses remarques trop au compte de la tete . 
 <start> tom is a boston native . <end>, <start> tom est natif de boston . <end>,tom est un amerindien . 
 <start> he is a lazy fellow . <end>, <start> c est un type paresseux . <end>,c est un type paresseux . 
 <start> how many words should you write ? <end>, <start> combien de mots devriez vous ecrire ? <end>,combien de mots devriez vous ecrire ? 
 <start> let me go with you . <end>, <start> laissez moi y aller avec vous . <end>,laissez moi aller avec vous . 
 <start> i m sure tom will leave early . <end>, <start> je suis sur que tom partira tot . <end>,je suis sure que tom partira tot . 
 <start> be very careful . <end>, <start> soyez tres prudents ! <end>,soyez tres soigneux ! 
 <start> would you like me to go there with you ? <end>, <start> voudrais tu que j y aille avec toi ? <end>,voudrais tu que j aille la bas avec toi ? 
 <start> subtlety never was your strong suit . <end>, <start> la subtilite n a jamais ete ton fort . <end>,la subtilite n a jamais ete votre fort . 
 <start> get out of there . <end>, <start> sors de la ! <end>,sortez de la ! 
 <start> i felt a little stiff . <end>, <start> je me sentis un peu raide . <end>,je me suis sentie un peu raide . 
 <start> of course you can trust me . have i ever given you a bum steer before ? <end>, <start> bien sur que vous pouvez vous fier a moi . vous ai je deja refile un mauvais tuyau ? <end>,bien sur que tu peux peut etre fier a moi . t ai je deja refile un mauvais tuyau ? 
 <start> where are your parents now ? <end>, <start> ou sont tes parents maintenant ? <end>,ou sont tes parents maintenant ? 
 <start> she ll get the better of you if you aren t careful . <end>, <start> elle va profiter de vous si vous ne faites pas attention . <end>,elle va avoir mieux de toi si tu n es pas prudent . 
 <start> how does it look ? <end>, <start> de quoi ca a l air ? <end>,comment ca a l air ? 
 <start> you ll be all right again in a couple of days . <end>, <start> vous serez tout a fait remise dans quelques jours . <end>,tu seras tout a fait remise dans quelques jours . 
 <start> i really wasn t sure . <end>, <start> je n en etais pas vraiment sure . <end>,je n etais pas vraiment sure . 
 <start> it has become much warmer . <end>, <start> le temps est devenu beaucoup plus chaud . <end>,il est devenu plus jeune . 
 <start> this is very difficult work . <end>, <start> c est un travail tres difficile . <end>,c est un travail tres difficile . 
 <start> tom stood in line . <end>, <start> tom resta dans l alignement . <end>,tom se leva en ligne . 
 <start> the bathtub is dirty . <end>, <start> la baignoire est sale . <end>,la baignoire est sale . 
 <start> i like reading american novels . <end>, <start> j aime lire les romans americains . <end>,j aime lire les romans etasuniens . 
 <start> i did some research . <end>, <start> j ai effectue des recherches . <end>,j ai effectue des recherches . 
 <start> are you going to sing here ? <end>, <start> allez vous chanter ici ? <end>,vas tu chanter ici ? 
 <start> he has no friends to advise him . <end>, <start> il n a pas d amis pour le conseiller . <end>,il n a pas d amis pour le conseiller . 
" <start> i don t know about you , but i m starving . <end>"," <start> je ne sais pas ce qu il en est pour toi mais , moi , je suis affame . <end>",je ne sais pas de toi mais je meurs de faim . 
 <start> his success delighted his parents . <end>, <start> son succes rejouissait ses parents . <end>,son contre ses parents de ses parents . 
 <start> who sent you here ? <end>, <start> qui vous a envoye ici ? <end>,qui t a envoye ici ? 
 <start> she asked him out on a date . <end>, <start> elle lui demanda de sortir avec lui . <end>,elle lui demanda de sortir avec lui . 
 <start> a few of these are mine . <end>, <start> il y en a quelques unes a moi . <end>,il y en a quelques unes a moi . 
 <start> i can t really remember . <end>, <start> je n arrive pas vraiment a me rappeler . <end>,je n arrive pas vraiment a me souvenir . 
 <start> we spoke briefly . <end>, <start> nous nous sommes brievement entretenus . <end>,nous nous entretinmes brievement . 
 <start> you could count to ten when you were two years old . <end>," <start> tu pouvais compter jusqu a dix , quand tu avais deux ans . <end>","tu pourrais compter jusqu a dix , quand tu avais deux ans . "
 <start> i m not convinced at all . <end>, <start> je ne suis pas du tout convaincue . <end>,je ne suis pas du tout convaincu . 
 <start> think of your family . <end>, <start> pense a ta famille ! <end>,pense a ta famille ! 
" <start> she said , i owe it to him that i am popular . <end>"," <start> c est a lui que je dois ma popularite , dit elle . <end>","elle a dit , je le lui suis populaire . "
 <start> you re probably tired . <end>, <start> vous etes probablement fatigues . <end>,tu es probablement fatiguee . 
 <start> that s not how i would say it . <end>, <start> ce n est pas ainsi que je le formulerais . <end>,ce n est pas comme ca que je le formulerais . 
 <start> i have a serious skin problem . <end>, <start> j ai un serieux probleme de peau . <end>,j ai un serieux probleme . 
 <start> i wouldn t touch that if i were you . <end>, <start> je ne toucherais pas a ca si j etais toi . <end>,je ne toucherais pas a ca si j etais toi . 
 <start> i hate women who say that all men are the same . <end>, <start> je deteste les femmes qui disent que tous les hommes sont les memes . <end>,je deteste les femmes qui disent ca tous les hommes sont pareils . 
 <start> how long have you been ill ? <end>, <start> combien de temps avez vous ete malade ? <end>,combien de temps etes vous malade ? 
 <start> are you sure you don t want to keep it ? <end>, <start> etes vous sur de ne pas vouloir le garder ? <end>,es tu sure de ne pas vouloir le garder ? 
 <start> he hit the center of the target with his first shot . <end>, <start> il a touche le centre de la cible du premier coup . <end>,il a touche le centre de la cible du premier coup . 
 <start> i think our luck just ran out . <end>, <start> je pense que notre chance vient de s epuiser . <end>,je pense que notre chance vient de s epuiser . 
 <start> the firemen rushed into the burning house . <end>, <start> les pompiers se precipiterent a l interieur de la maison en feu . <end>,les pompiers du feu se precipiterent a l interieur de la maison . 
 <start> i really wanted to believe it was true . <end>, <start> je voulais vraiment croire que c etait vrai . <end>,je voulais vraiment y croire etre vrai . 
 <start> he was crushed to death . <end>, <start> il fut ecrase . <end>,il a ete ecrase . 
 <start> i forgot my lunch and bought a sandwich at school . <end>, <start> j ai oublie mon dejeuner et j ai achete un casse croute a l ecole . <end>,j ai oublie mon dejeuner et j ai achete un casse croute a l ecole . 
 <start> my father is a teacher . <end>, <start> mon pere est enseignant . <end>,mon pere est enseignant . 
 <start> are you still at home ? <end>, <start> es tu encore chez toi ? <end>,etes vous encore a la maison ? 
 <start> he kept talking . <end>, <start> il continuait a parler . <end>,il continuait a parler . 
 <start> please take good care of yourself . <end>," <start> s il te plait , prends bien soin de toi . <end>",merci de vous meme . 
 <start> could you show me the way to the station ? <end>, <start> pouvez vous m indiquer le chemin de la gare ? <end>,pourriez vous me montrer le chemin jusqu a la gare ? 
 <start> he can swim on his back . <end>, <start> il peut nager sur le dos . <end>,il peut nager sur le dos . 
 <start> i didn t do it on purpose . <end>, <start> je ne l ai pas fait expres . <end>,je ne l ai pas fait expres . 
 <start> there isn t anyone in the room . <end>, <start> il n y a personne dans la piece . <end>,il n y a personne dans la piece . 
 <start> you re not listening ! <end>, <start> tu n ecoutes pas ! <end>,vous n ecoutez pas ! 
 <start> give me my drink . <end>, <start> donnez moi mon verre ! <end>,donne moi mon verre ! 
 <start> can you make a salad ? <end>, <start> peux tu preparer une salade ? <end>,peux tu faire une salade ? 
 <start> tell me what really happened . <end>, <start> dis moi ce qui s est reellement passe ! <end>,dites moi ce qui est vraiment arrive ! 
 <start> people are very hospitable here . <end>, <start> les gens sont tres hospitaliers ici . <end>,les gens sont tres hospitaliers ici . 
 <start> i had to crawl under the fence . <end>, <start> il m a fallu ramper sous la barriere . <end>,j ai du ramper sous la barriere . 
 <start> i was very flattered . <end>, <start> je fus tres flattee . <end>,j ai ete tres flatte . 
 <start> do you smoke ? <end>, <start> est ce que tu fumes ? <end>,fumes tu ? 
 <start> it s warm in here . <end>, <start> il fait chaud ici . <end>,il fait chaud ici . 
 <start> i have to go now . <end>," <start> il faut que j y aille , maintenant . <end>",il me faut partir maintenant . 
 <start> i was too stunned to talk . <end>, <start> j etais trop abasourdi pour parler . <end>,j etais trop abasourdi pour parler . 
 <start> i can squeeze you in . <end>, <start> je peux vous faire entrer . <end>,je peux vous inserer . 
 <start> not all children like apples . <end>, <start> tous les enfants n aiment pas les pommes . <end>,tous les enfants n aiment pas les pommes . 
 <start> i m not qualified to do this job . <end>, <start> je ne suis pas qualifie pour faire ce travail . <end>,je ne suis pas qualifie pour faire ce travail . 
 <start> it was sunday yesterday . <end>," <start> hier , c etait dimanche . <end>","hier , c etait dimanche . "
 <start> he retired at the age of . <end>, <start> il a pris sa retraite a l age de ans . <end>,il a pris sa retraite a l age de ans . 
 <start> why don t i have a boyfriend ? <end>, <start> pourquoi n ai je pas de petit ami ? <end>,pourquoi n ai je pas de petit ami ? 
 <start> i don t care a bit about the future . <end>, <start> le futur m importe peu . <end>,je me fiche de l avenir . 
 <start> i ve got dollars in my wallet . <end>, <start> j ai trente dollars dans mon portefeuille . <end>,j ai trente dollars dans mon portefeuille . 
 <start> i like reading . <end>, <start> j aime lire . <end>,j aime lire . 
 <start> i think we re ready to go . <end>, <start> je pense que nous sommes pretes a y aller . <end>,je pense que nous sommes prets a partir . 
 <start> don t talk about my family . <end>, <start> ne parle pas de ma famille ! <end>,ne parle pas de ma famille ! 
 <start> i think that might be a good idea . <end>, <start> je pense que ce serait une bonne idee . <end>,je pense que ca pourrait etre une bonne idee . 
 <start> how much does this umbrella cost ? <end>, <start> combien coute ce parapluie ? <end>,combien coute ce parapluie ? 
 <start> could you give me a ball park figure ? <end>, <start> pourriez vous me donner un chiffre approximatif ? <end>,pourrais tu me faire un approximatif approximatif ? 
 <start> where did i put that box ? <end>, <start> ou ai je mis cette caisse ? <end>,ou ai je mis cette boite ? 
 <start> i saw you . <end>, <start> je vous ai vue . <end>,je vous ai vus . 
 <start> he can t be older than i am . <end>, <start> il ne peut pas etre plus vieux que moi . <end>,il ne peut pas etre plus vieux que moi . 
 <start> that is how he always treats me . <end>, <start> il me traite tout le temps comme ca . <end>,c est ainsi qu il me traite toujours . 
 <start> he sent his son out to get the newspaper . <end>, <start> il a envoye son fils dehors chercher le journal . <end>,il a envoye son fils dehors pour chercher le journal . 
 <start> not all men are like that . <end>, <start> tous les hommes ne sont pas ainsi . <end>,tous les hommes ne sont pas ainsi . 
 <start> you re a bad liar . <end>, <start> tu mens mal . <end>,tu es un pietre menteur . 
 <start> i waited up . <end>, <start> j ai veille . <end>,j ai veille . 
 <start> he was stupid enough to believe her . <end>, <start> il a ete suffisamment stupide pour la croire . <end>,il a ete suffisamment stupide pour la croire . 
 <start> i m careful . <end>, <start> je suis prudente . <end>,je suis prudente . 
 <start> i ll be brief . <end>, <start> je serai bref . <end>,je serai bref . 
 <start> i hear his business is on the verge of ruin . <end>, <start> apparemment son entreprise est au bord de la faillite . <end>,j ai entendu son affaire sur le fait de la faillite . 
 <start> i can still remember the time when we went on a picnic together . <end>, <start> j arrive encore a me rappeler le temps ou nous sommes allees en pique nique ensemble . <end>,je peux encore me souvenir de l heure ou nous sommes alles en pique nique . 
 <start> let s do it . <end>, <start> faisons le . <end>,faisons le . 
 <start> i go to church every day . <end>, <start> je me rends chaque jour a l eglise . <end>,je vais quotidiennement chaque jour . 
" <start> tom is a good teacher , isn t he ? <end>"," <start> tom est un bon prof , non ? <end>","tom est un bon enseignant , n est ce pas ? "
 <start> i need to know where you are . <end>, <start> j ai besoin de savoir ou vous etes . <end>,il me faut savoir ou tu es . 
 <start> i hurried home . <end>, <start> je filai a la maison . <end>,je filai a la maison . 
 <start> this coat fits me well . <end>, <start> ce manteau me va bien . <end>,ce manteau me va bien . 
 <start> i m not the least bit worried about losing my job . <end>, <start> je ne suis pas le moins du monde preoccupe de perdre mon boulot . <end>,je ne suis pas du tout preoccupe de perdre mon poste . 
 <start> could you fill me in ? <end>, <start> pourriez vous me mettre au courant ? <end>,pourriez vous me mettre en courant ? 
 <start> the feeling was mutual . <end>, <start> le sentiment etait mutuel . <end>,le sentiment etait partage . 
 <start> does anyone on your team speak french ? <end>, <start> est ce que quelqu un de votre equipe parle francais ? <end>,qui que ce soit se trouve t il le francais ? 
 <start> that guy drives me crazy . <end>, <start> ce mec me rend dingue . <end>,ce mec me rend dingue . 
 <start> luckily nobody drowned . <end>," <start> heureusement , personne ne se noya . <end>",heureusement personne ne s est noye . 
 <start> i suppose i could wait a little longer . <end>, <start> je suppose que je pourrais attendre un peu plus longtemps . <end>,je pense que je pourrais servir un peu plus longtemps . 
 <start> do you have a minute ? <end>, <start> as tu une minute ? <end>,avez vous une minute ? 
 <start> what did they hit you with ? <end>, <start> avec quoi vous ont ils frappe ? <end>,avec quoi vous ont ils frappes ? 
 <start> salt is necessary for cooking . <end>, <start> le sel est necessaire a la cuisine . <end>,le sel est necessaire a cuisiner . 
