Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> take off your coat . <end>, <start> enleve ton manteau . <end>,retire ton manteau . 
 <start> no doubt he will come . <end>," <start> il viendra , c est sur . <end>",il viendra sans doute . 
" <start> apparently , the bus is late . <end>", <start> apparemment le bus est en retard . <end>,apparemment le bus est en retard . 
 <start> i couldn t help laughing when i heard that story . <end>, <start> je ne pus m empecher de rire lorsque j entendis cette histoire . <end>,je ne pus m empecher de rire lorsque j ai entendu cette histoire . 
 <start> where do we get the textbooks ? <end>, <start> ou degotons nous les manuels ? <end>,ou prendrons nous les manuels ? 
 <start> i didn t need your help . <end>, <start> je n ai pas eu besoin de votre aide . <end>,je n ai pas eu besoin de votre aide . 
 <start> he s a good person . <end>, <start> c est quelqu un de bien . <end>,c est une bonne personne . 
 <start> read this first . <end>, <start> lisez ceci d abord . <end>,lis ceci . 
 <start> her eyes were filled with tears . <end>, <start> ses yeux etaient emplis de larmes . <end>,ses yeux etaient emplis de larmes . 
 <start> he overslept this morning . <end>, <start> il ne s est pas reveille ce matin . <end>,il ne se pressa pas de dormir ce matin . 
 <start> i knew it wouldn t be that easy . <end>, <start> je savais que ce ne serait pas si facile . <end>,je savais que ca ne serait pas aussi facile que ca . 
 <start> tom couldn t do even one push up when he started training . <end>," <start> lorsqu il a commence a s entrainer , tom ne pouvait meme pas faire une pompe . <end>",tom ne pouvait pas y faire meme un coup de main lorsqu il se mit a entrainement . 
 <start> tom wants to be with mary . <end>, <start> tom veut etre avec marie . <end>,tom veut etre avec mary . 
 <start> batteries are not included . <end>, <start> les piles ne sont pas incluses . <end>,les furets ne sont pas incluses . 
 <start> i thought we could use the cloth napkins . <end>, <start> j ai pense que nous pourrions utiliser les serviettes de table en tissu . <end>,je pensais que nous pourrions utiliser les serviettes de tissu . 
" <start> as soon as she saw me , she greeted me with a smile . <end>"," <start> des qu elle me vit , elle me salua d un sourire . <end>","des qu elle me vit , elle me salua d un sourire . "
 <start> i thought you might want some breakfast . <end>, <start> j ai pense que tu pourrais vouloir un petit dejeuner . <end>,je pensais que vous pourriez vouloir un petit dejeuner . 
 <start> you re either with me or you re against me . <end>," <start> vous etes soit avec moi , soit contre . <end>","vous etes soit avec moi , soit vous etes contre moi . "
 <start> i d be happy if that happened again . <end>, <start> je serais heureuse si ca se reproduisait . <end>,je serais ravi si ca se reproduise . 
 <start> an englishman would not pronounce it like that . <end>, <start> un anglais ne prononcerait pas cela ainsi . <end>,un anglais ne le prononcerait pas ainsi . 
" <start> if you are to know a nation , you must learn its history . <end>"," <start> si on veut connaitre un pays , il faut apprendre son histoire . <end>","si tu connais une nation , il faut apprendre son histoire . "
 <start> i wish you had come with us . <end>, <start> j aurais aime que tu sois venu avec nous . <end>,j espere que tu vinsses avec nous . 
 <start> tom failed miserably . <end>, <start> tom a echoue lamentablement . <end>,tom a echoue lamentablement . 
 <start> is there something wrong with your phone ? <end>, <start> y a t il quelque chose qui cloche avec votre telephone ? <end>,y a t il un probleme ? 
" <start> no matter what you say , i don t think tom is a nice guy . <end>"," <start> peu importe ce que tu dis , je ne pense pas que tom est un gars sympa . <end>","quoi que tu dises , je ne pense pas que tom est un gars gentil . "
 <start> i m sure i have the right number . <end>, <start> je suis convaincu d avoir le bon numero . <end>,je suis sure d avoir le bon numero . 
 <start> would you like something to eat ? <end>, <start> veux tu manger quelque chose ? <end>,voudrais tu manger quelque chose ? 
 <start> i don t think you should eat that . <end>, <start> je ne pense pas que tu devrais manger ca . <end>,je ne pense pas que vous devriez manger cela . 
 <start> i want to ask a favor of you . <end>, <start> j ai une faveur a vous demander . <end>,je veux te demander une faveur . 
 <start> tomorrow is another day . <end>, <start> demain est un autre jour . <end>,demain est un autre jour . 
 <start> how did you get into my house ? <end>, <start> comment etes vous entre chez moi ? <end>,comment etes vous entree chez moi ? 
 <start> new york is worth visiting . <end>, <start> new york vaut la peine d etre visitee . <end>,de nouveau york vaut la peine d etre visitee . 
 <start> it could take years before this bridge is ready to use . <end>, <start> ca pourrait prendre des annees avant que ce pont soit pret a etre utilise . <end>,ca pourrait prendre des annees avant que ce pont soit pret a utiliser . 
 <start> i can t sing as well as mary did . <end>, <start> je ne peux pas chanter aussi bien que marie l a fait . <end>,je ne peux pas chanter aussi bien que mary l a fait . 
 <start> he doesn t know how to play golf . <end>, <start> il ne sait pas jouer au golf . <end>,il ne sait pas jouer au golf . 
 <start> what is it you really want to tell me ? <end>, <start> que voulez vous vraiment me dire ? <end>,qu est ce que vous voulez vraiment me dire ? 
 <start> i know that i didn t do that . <end>, <start> je sais que je n ai pas fait cela . <end>,je sais que je n ai pas fait ca . 
 <start> why did he do such a thing ? <end>, <start> pourquoi a t il fait une chose pareille ? <end>,pourquoi a t il fait une chose pareille ? 
 <start> the grass is always greener on the other side . <end>, <start> l herbe est toujours plus verte de l autre cote . <end>,l herbe est toujours plus verte de l autre cote . 
 <start> you re good . <end>, <start> vous etes bon . <end>,tu es bonne . 
 <start> we speak japanese . <end>, <start> nous parlons japonais . <end>,nous parlons japonais . 
 <start> i heard what you were saying . <end>, <start> j ai entendu ce que tu disais . <end>,j ai entendu ce que tu faisais . 
 <start> you re not supposed to be smoking in here . <end>, <start> tu n es pas cense fumer ici . <end>,tu n es pas cense fumer ici . 
 <start> i knew this would happen . <end>, <start> je savais que ca arriverait . <end>,je savais que ca arriverait . 
 <start> i don t worry about that . <end>, <start> je ne m en soucie pas . <end>,je ne me soucie pas de ca . 
 <start> how well can you dance ? <end>, <start> jusqu a quel point es tu bonne danseuse ? <end>,jusqu a quel point etes vous bon danseur ? 
 <start> will you read this cookbook ? <end>, <start> liras tu ce livre de cuisine ? <end>,liras tu ce livre de cuisine ? 
 <start> i ve got a lot to tell . <end>, <start> j ai beaucoup a dire . <end>,j ai beaucoup a dire . 
 <start> i need to get a haircut . <end>, <start> je dois me faire couper les cheveux . <end>,il me faut me faire couper les cheveux . 
 <start> do you know the name of this flower ? <end>, <start> sais tu le nom de cette fleur ? <end>,connaissez vous le nom de cette fleur ? 
 <start> i have to leave now . <end>, <start> je dois partir maintenant . <end>,il me faut partir maintenant . 
 <start> i am from england . <end>, <start> je viens d angleterre . <end>,je viens d angleterre . 
 <start> i have tried everything . <end>, <start> j ai tout tente . <end>,j ai tout essaye . 
 <start> they want you to resign . <end>, <start> ils veulent que tu demissionnes . <end>,elles veulent que vous demissionniez . 
 <start> can you believe this is really happening ? <end>, <start> pouvez vous croire que ce soit vraiment en train d arriver ? <end>,peux tu croire que ca soit vraiment en train de se produire ? 
 <start> they re twins . <end>, <start> ils sont jumeaux . <end>,elles sont jumeaux . 
 <start> tom is moving to boston . <end>, <start> tom demenage a boston . <end>,tom demenage a boston . 
 <start> i finished reading the book . <end>, <start> j ai fini de lire ce livre . <end>,j ai fini de lire ce livre . 
 <start> we ve only got three minutes . <end>, <start> nous n avons que trois minutes . <end>,nous avons seulement trois minutes . 
 <start> i hope we can fix that . <end>, <start> j espere qu on peut regler ca . <end>,j espere que nous pouvons arranger ca . 
 <start> i wonder what they re laughing about . <end>, <start> je me demande ce qui les fait rire . <end>,je me demande ce qu ils sont en train de rire . 
 <start> you can go wherever you want to go . <end>, <start> vous pouvez vous rendre ou vous voulez . <end>,tu peux aller ou tu veux aller . 
 <start> i couldn t stop laughing . <end>, <start> je n ai pu m empecher de rigoler . <end>,je ne pus m empecher de rire . 
 <start> we re listening . <end>, <start> nous ecoutons . <end>,nous ecoutons . 
 <start> aren t you ashamed of yourself ? <end>, <start> n avez vous pas honte de vous ? <end>,n avez vous pas honte de vous ? 
 <start> i have a new pair of socks . <end>, <start> j ai une nouvelle paire de chaussettes . <end>,j ai une nouvelle paire de chaussettes . 
 <start> luckily nobody drowned . <end>," <start> heureusement , personne ne se noya . <end>",heureusement personne ne s est noye . 
 <start> every family has a skeleton in the closet . <end>, <start> chaque famille a un squelette dans son placard . <end>,chaque famille a un squelette dans son placard . 
 <start> the value of a good education cannot be measured in terms of money . <end>, <start> la valeur d une bonne education ne peut se mesurer en termes d argent . <end>,la valeur d une bonne education ne peut se mesurer en termes d argent . 
" <start> i m sorry , but i can t answer right away . <end>"," <start> je suis desole , mais je ne peux pas repondre tout de suite . <end>",je suis desole mais je ne peux pas repondre tout de suite . 
 <start> why are you so busy today ? <end>, <start> pourquoi es tu si occupee aujourd hui ? <end>,pourquoi es tu si occupe aujourd hui ? 
 <start> i was at the time . <end>, <start> j avais treize ans a l epoque . <end>,j etais a l heure . 
 <start> are you here alone ? <end>, <start> etes vous seul ici ? <end>,etes vous seuls ici ? 
 <start> are you from here ? <end>, <start> vous etes du coin ? <end>,etes vous d ici ? 
 <start> i ve decided that we won t go . <end>, <start> j ai decide que nous n irons pas . <end>,j ai decide que nous n irons pas . 
 <start> i want to make you happy . <end>, <start> je veux te rendre heureuse . <end>,je veux vous faire heureux . 
 <start> they are looking to you for help . <end>, <start> ils attendent que tu les aides . <end>,ils vous regardent de l aide . 
 <start> there isn t a cat in the cinema . <end>, <start> il n y a pas un chat au cinema . <end>,il n y a pas un chat dans la boite . 
 <start> i know what they re capable of . <end>, <start> je sais de quoi elles sont capables . <end>,je sais de quoi ils sont capables . 
 <start> tom was looking for place to eat that had reasonable prices . <end>, <start> tom cherchait un endroit avec des prix raisonnables pour manger . <end>,tom cherchait un endroit interessant lent . 
 <start> no one would listen . <end>, <start> personne ne voulait ecouter . <end>,personne ne voudrait ecouter . 
 <start> i do not believe in magic spells . <end>, <start> je ne crois pas aux sortileges . <end>,je ne crois pas a la magie des pieds . 
 <start> it s cold out there . <end>, <start> il fait froid au dehors . <end>,il fait froid la bas . 
 <start> are they worth it ? <end>, <start> valent ils le coup ? <end>,valent ils le coup ? 
 <start> i had to go there yesterday . <end>, <start> j ai du y aller hier . <end>,il m a fallu y aller hier . 
" <start> cats can climb trees , but dogs can t . <end>"," <start> les chats peuvent monter aux arbres , mais pas les chiens . <end>","les chats peuvent monter aux arbres , mais aussi les chiens . "
 <start> they were perfect . <end>, <start> ils etaient parfaits . <end>,ils etaient parfait . 
 <start> i d say you did well . <end>, <start> je dirais que vous vous en etes bien sorti . <end>,je dirais que tu t en es bien sortie . 
 <start> i don t care for green tea . <end>, <start> je n aime pas le the vert . <end>,je n aime pas le the vert . 
 <start> the girl was sobbing in the corner of the schoolroom . <end>, <start> la fille sanglotait au coin de la salle de classe . <end>,la fille sanglotait au coin de la salle de classe . 
 <start> my boss praised me for my hard work . <end>, <start> mon patron m a loue pour mon serieux travail . <end>,mon patron me loua pour mon labeur . 
 <start> you look busy . <end>, <start> tu as l air occupe . <end>,vous avez l air occupe . 
 <start> have you asked if they want one ? <end>, <start> avez vous demande s ils en voulaient un ? <end>,avez vous demande s ils en voulaient un ? 
 <start> we need to do this right . <end>, <start> nous avons besoin de faire cela bien . <end>,nous avons besoin de faire ca correctement . 
 <start> many people also considered him a madman . <end>, <start> de nombreuses personnes le consideraient aussi comme un fou . <end>,beaucoup de gens le consideraient aussi comme un fou . 
 <start> it s going really well . <end>, <start> ca se passe vraiment tres bien . <end>,ca se passe vraiment bien . 
 <start> i just want to make sure we all agree . <end>, <start> je veux juste m assurer que nous sommes tous d accord . <end>,je veux juste m assurer que nous sommes toutes d accord . 
 <start> tell me what to do here . <end>, <start> dites moi quoi faire ici ! <end>,dites moi quoi faire ici ! 
 <start> this is the last time i m telling you to do that . <end>, <start> c est la derniere fois que je vous dis de faire cela . <end>,c est la derniere fois que je te dis de faire ca . 
 <start> let s get this over with . <end>, <start> finissons en . <end>,finissons en . 
 <start> he has short hair . <end>, <start> il a les cheveux courts . <end>,il a les cheveux courts . 
" <start> i don t have time to say this twice , so listen carefully . <end>", <start> je n ai pas le temps de le repeter alors ecoute avec attention ! <end>,je n ai pas le temps de le repeter alors ecoutez avec attention ! 
 <start> i need to know . <end>, <start> j ai besoin de le savoir . <end>,il me faut savoir . 
 <start> are you old enough to drive ? <end>, <start> es tu assez agee pour conduire ? <end>,etes vous assez age pour conduire ? 
 <start> i went outside early in the morning . <end>, <start> je suis sorti tot le matin . <end>,je suis sorti tot le matin . 
 <start> we ll have a better chance of surviving if we stay calm . <end>, <start> nous avons une meilleure chance de survie si nous restons calmes . <end>,nous aurons une meilleure chance de debattre si nous nous tenez . 
 <start> all the stores were closed . <end>, <start> toutes les boutiques etaient fermees . <end>,tous les magasins etaient fermes . 
 <start> you speak too much . <end>, <start> tu parles trop . <end>,vous parlez trop . 
 <start> what do you learn at school ? <end>, <start> qu est ce que tu apprends a l ecole ? <end>,qu apprends tu a l ecole ? 
 <start> the intersection where the accident happened is near here . <end>, <start> le croisement ou l accident est survenu se trouve pres d ici . <end>,le croisement ou l accident a eu lieu se trouve pres d ici . 
 <start> what s the forecast for tomorrow ? <end>, <start> quelles sont les previsions meteorologiques pour demain ? <end>,quelle est la solution pour demain ? 
 <start> i m not in that much of a hurry . <end>, <start> je ne suis pas si pressee . <end>,je ne suis pas si presse . 
 <start> let s go over what we already know . <end>, <start> passons en revue ce que nous savons deja ! <end>,allons terminer ce que nous savons deja ! 
 <start> tom can t see us . <end>, <start> tom ne peut pas nous voir . <end>,tom ne peut pas nous voir . 
 <start> the storm shouldn t affect our plans . <end>, <start> la tempete ne devrait pas affecter nos plans . <end>,la tempete ne devrait pas affecter nos plans . 
 <start> they don t despise you . <end>, <start> ils ne vous meprisent pas . <end>,ils ne te meprisent pas . 
 <start> peace has returned after three years of war . <end>, <start> la paix est revenue apres trois annees de guerre . <end>,la paix est revenue apres trois annees de guerre . 
 <start> she despises people who lie . <end>, <start> elle meprise les gens qui mentent . <end>,elle meprise les gens qui mentent . 
 <start> there are signs of growing tensions between the two countries . <end>, <start> il y a des signes de tension grandissante entre les deux pays . <end>,il y a des signes de tension grandissante entre les deux pays . 
 <start> you don t look so well . <end>, <start> vous n avez pas l air si bien que ca . <end>,vous n avez pas l air si bien que ca . 
 <start> endorse this check . <end>, <start> endosse ce cheque . <end>,endosse ce cheque . 
" <start> tickets are valid for just two days , including the day they are purchased on . <end>"," <start> les tickets sont valables seulement deux jours , inclus le jour de l achat . <end>","les tickets ne sont valables que deux jours , en comptant le jour ou ils sont achetes . "
 <start> the committee can only act in an advisory capacity . <end>, <start> le comite ne peut agir qu en qualite de conseil . <end>,le comite ne peut finir par un conseil de conseil . 
 <start> i m sorry i m late . <end>, <start> excusez mon retard . <end>,je suis desolee d etre en retard . 
 <start> i don t know how this happened again . <end>, <start> j ignore comment c est a nouveau arrive . <end>,je ne sais pas comment ceci s est produit . 
 <start> what do you regret most ? <end>, <start> qu est ce que tu regrettes le plus ? <end>,qu est ce que tu regrettes le plus ? 
 <start> can we fix this ? <end>, <start> pouvons nous arranger ca ? <end>,pouvons nous arranger ca ? 
 <start> to have doubts about oneself is the first sign of intelligence . <end>, <start> douter de soi est le premier signe d intelligence . <end>,douter de soi est le premier signe d intelligence . 
 <start> i still have the key to tom s house . <end>, <start> j ai toujours les cles de chez tom . <end>,j ai encore la cle a tom . 
 <start> why are you wasting time with this ? <end>, <start> pourquoi perdez vous votre temps avec ceci ? <end>,pourquoi gaspilles tu du temps avec ca ? 
 <start> don t go near the bulldog . you wouldn t want him to bite you . <end>, <start> ne t approche pas du bulldog . tu ne voudrais pas qu il te morde . <end>,ne t approche pas du bulldog . tu ne voudrais pas qu il te morde . 
 <start> i m going to take a bath . <end>, <start> je vais me baigner . <end>,je vais prendre un bain . 
 <start> pass me the wine . <end>, <start> passe moi le vin . <end>,passe moi le vin ! 
 <start> where are you from ? <end>, <start> d ou etes vous ? <end>,ou etes vous ? 
 <start> what does this remind you of ? <end>, <start> qu est ce que ca te rappelle ? <end>,qu est ce que ca te rappelle ? 
 <start> there s a hair in my soup . <end>, <start> il y a un cheveu dans ma soupe . <end>,il y a un cheveu dans ma soupe . 
 <start> keep your room as neat as you can . <end>, <start> gardez votre chambre aussi propre que vous pouvez . <end>,maintiens ta chambre aussi propre que tu peux . 
 <start> you ve been warned . <end>, <start> on vous a prevenus . <end>,vous avez ete prevenu . 
 <start> they re asleep . <end>, <start> ils sont endormis . <end>,elles sont endormis . 
 <start> tom only speaks french with his parents . <end>, <start> tom parle francais seulement avec ses parents . <end>,tom ne parle que francais avec ses parents . 
 <start> i should have told someone . <end>, <start> j aurais du le dire a quelqu un . <end>,j aurais du le dire a quelqu un . 
 <start> you re very clever . <end>, <start> vous etes tres habile . <end>,tu es fort habile . 
 <start> his weight strained the rope . <end>, <start> la corde se tendit sous son poids . <end>,son poids va se coucher sous la corde . 
 <start> she worked from morning till night . <end>, <start> elle travaillait du matin au soir . <end>,elle travailla du matin au soir . 
 <start> i hate this thing . <end>, <start> je deteste cette chose . <end>,je deteste ce truc . 
 <start> you might as well just enjoy life . <end>, <start> tu ferais mieux de simplement profiter de la vie . <end>,tu ferais tout de meme bien qu une vie . 
 <start> you and tom used to be friends . what happened ? <end>, <start> tom et toi etiez amis . que s est il passe ? <end>,tom et toi etiez amis . qu est ce qui est arrive ? 
 <start> why didn t you ask for my help ? <end>, <start> pourquoi ne m as tu pas demande d aide ? <end>,pourquoi n avez vous pas demande de mon aide ? 
 <start> she was advised by him to get more exercise . <end>, <start> il lui conseilla de faire davantage d exercice . <end>,il lui a conseille de faire davantage d exercice . 
 <start> when do you mean to start ? <end>, <start> quand avez vous l intention de commencer ? <end>,quand voulez vous demarrer ? 
 <start> just relax . <end>, <start> detends toi . <end>,detends toi . 
 <start> she is related to him by marriage . <end>, <start> elle lui est apparentee par alliance . <end>,elle lui est apparentee par alliance . 
 <start> the children were standing in line . <end>, <start> les enfants etaient debout en ligne . <end>,les enfants se tenaient en ligne . 
 <start> it was your own choice . <end>, <start> c etait votre choix . <end>,c etait votre choix . 
 <start> she s a really nice girl . <end>, <start> c est une tres belle fille . <end>,c est une fille vraiment gentille . 
 <start> i called my father . <end>, <start> j ai telephone a mon pere . <end>,j ai appele mon pere . 
 <start> mathematics is an interesting subject . <end>, <start> les mathematiques sont un sujet interessant . <end>,les mathematiques sont un sujet interessant . 
 <start> i was absent from school because i was sick . <end>, <start> j ai ete absent de l ecole parce que j etais malade . <end>,j etais absent de l ecole parce que j etais malade . 
 <start> she is on a diet to lose weight . <end>, <start> elle fait un regime pour perdre du poids . <end>,elle est un regime pour perdre du poids . 
 <start> she hurried across the lawn . <end>, <start> elle se precipita a travers la pelouse . <end>,elle se precipita en travers la pelouse . 
 <start> didn t your mother teach you to say thank you ? <end>, <start> votre mere ne vous a t elle pas enseigne a dire merci ? <end>,ta mere ne vous a t elle pas enseigne a dire merci ? 
 <start> repeat after me . <end>, <start> repete apres moi . <end>,repetez apres moi . 
 <start> that s pretty strange . <end>, <start> c est assez bizarre . <end>,c est plutot etrange . 
" <start> sorry , we don t accept credit cards . <end>"," <start> je suis desole , les cartes de credit ne sont pas acceptees . <end>","desole , nous n avons pas les cartes de credit . "
 <start> whether we will go on the trip depends on the weather . <end>, <start> qu on parte en voyage ou non depend du temps . <end>,que nous irons sur le voyage depend du temps . 
 <start> how many brothers and sisters do you have ? <end>, <start> combien de freres et s urs as tu ? <end>,combien de freres et s urs avez vous ? 
 <start> the president is a down to earth kind of man . <end>, <start> le president est plutot quelqu un de terre a terre . <end>,le president est un homme a terre est un homme humain . 
 <start> tom doesn t want any part of this . <end>, <start> tom ne va pas du tout y etre mele . <end>,tom ne veut pas le moindre lieu . 
 <start> stop playing hard to get . <end>, <start> cesse de faire celui qui n est pas interesse ! <end>,arretez de faire celle qui n est pas interesse ! 
 <start> i hate that you have to leave . <end>, <start> je suis desole que vous dussiez partir . <end>,je suis desolee qu il te faille partir . 
 <start> some students aren t going to come back next semester . <end>, <start> certains etudiants ne reviendront pas le prochain semestre . <end>,certains etudiants ne reviendront pas le prochain semestre . 
 <start> she treated him like a king . <end>, <start> elle le traita comme un roi . <end>,elle l a traite comme un roi . 
 <start> we haven t even discussed that yet . <end>, <start> nous n en avons meme pas encore discute . <end>,nous ne l avons pas encore discute en l autre . 
 <start> how big is your house ? <end>, <start> quelle taille a votre maison ? <end>,quelle est ta maison ? 
" <start> when i woke up this morning , i felt sick . <end>"," <start> lorsque je me suis reveille ce matin , je me sentais malade . <end>","lorsque je me suis reveille ce matin , je me suis sentie malade . "
 <start> he is always neatly dressed . <end>, <start> il est toujours soigneusement vetu . <end>,il est toujours soigneusement vetu . 
 <start> my sister resembles my mother . <end>, <start> ma s ur ressemble a ma mere . <end>,ma s ur ressemble a ma mere . 
 <start> i don t know who made the cake . <end>, <start> j ignore qui a confectionne le gateau . <end>,j ignore qui a commi le gateau . 
 <start> this is my father s . <end>, <start> ceci appartient a mon pere . <end>,c est a mon pere . 
 <start> i have an older brother who s the same age as you . <end>, <start> j ai un grand frere du meme age que toi . <end>,j ai un grand frere qui est le meme age que toi . 
 <start> his hobby is stamp collecting . <end>, <start> son passe temps est la collection de timbres . <end>,son passe temps est la collection de timbres . 
 <start> i like seeing you this way . <end>, <start> j aime te voir ainsi . <end>,j aime vous voir ainsi . 
 <start> it s a small problem . <end>, <start> c est un petit probleme . <end>,c est un petit probleme . 
 <start> would anyone like some coffee ? <end>, <start> quiconque aimerait il du cafe ? <end>,quiconque aimerait il du cafe ? 
 <start> i often catch colds in the winter . <end>, <start> j attrape souvent des rhumes en hiver . <end>,je contracte souvent des rhumes en hiver . 
 <start> i m as hungry as a bear . <end>, <start> j ai une faim de loup . <end>,je suis aussi affame qu un ours . 
" <start> come with us , please . <end>"," <start> viens avec nous , s il te plait . <end>","venez avec nous , s il vous plait . "
 <start> i wouldn t have sung that song if i d known it would make tom cry . <end>, <start> je n aurais pas chante cette chanson si j avais su que cela ferait pleurer tom . <end>,je n aurais pas chante cette chanson si j avais su tom pleurer tom . 
 <start> his father left him the house in his will . <end>, <start> son pere lui legua la maison dans son testament . <end>,son pere l a laisse la maison dans sa volonte . 
 <start> it looks like the data you lost on your computer is irretrievable . <end>, <start> il semble que les donnees que vous avez perdues sur votre ordinateur soient irrecuperables . <end>,on dirait les donnees que tu as perdu sur ton ordinateur . 
 <start> my father quit drinking . <end>, <start> mon pere cessa de boire . <end>,mon pere cessa de boire . 
 <start> i really like him ! <end>, <start> je l apprecie beaucoup ! <end>,je l aime beaucoup ! 
 <start> what we have is one thing and what we are is quite another . <end>, <start> etre et avoir sont deux choses bien differentes . <end>,ce qu il nous fait de l autre et nous sommes connaissons . 
 <start> could you spare me a little time ? <end>, <start> pouvez vous me consacrer un peu de temps ? <end>,pourrais tu me consacrer un peu ? 
 <start> tom is really ambitious . <end>, <start> tom est tres ambitieux . <end>,tom est vraiment ambitieux . 
" <start> if you want to succeed in life , work hard . <end>"," <start> si tu veux reussir dans la vie , travaille dur ! <end>","si vous voulez reussir a la vie , travaillez dur . "
